Sr. No,Name,Age,Team,Mats,Inns,N.O.,Runs,HS,AVG,100,50
1,Ijaz Mahmood,45 years,Pakistan A,4,4,0,57,26,14.25,0,0
2,Mohammad Hussain,39 years,Pakistan A,4,4,0,18,9,4.5,0,0
3,Aamer Nazir,45 years,Pakistan A,4,4,1,9,4,3.0,0,0
4,Abdul Razzaq,36 years,Pakistan A,4,4,0,48,19,12.0,0,0
5,Akhtar Sarfraz,39 years,Pakistan A,4,4,1,162,57,54.0,0,2
6,Mark Bailey,45 years,New Zealand A,4,4,0,104,41,26.0,0,0
7,Javed Qadeer,39 years,Pakistan A,4,4,0,6,2,1.5,0,0
8,Matthew Hart,43 years,New Zealand A,3,3,1,78,55,39.0,0,1
9,Shahid Nazir,38 years,Pakistan A,3,3,1,7,5,3.5,0,0
10,Chris Harris,46 years,New Zealand A,3,3,0,34,34,11.33,0,0
11,Wajahatullah Wasti,41 years,Pakistan A,3,3,0,68,44,22.67,0,0
12,Lou Vincent,37 years,New Zealand A,3,3,0,35,20,11.67,0,0
13,Robbie Hart,41 years,New Zealand A,3,3,0,27,18,9.0,0,0
14,Ali Rizvi,42 years,Pakistan A,3,3,0,35,19,11.67,0,0
15,Taimur Khan,40 years,Pakistan A,3,3,0,16,14,5.33,0,0
16,Mohammad Wasim,38 years,Pakistan A,3,3,0,6,6,2.0,0,0
17,Chris Drum,41 years,New Zealand A,4,3,1,4,4,2.0,0,0
18,Faisal Iqbal,34 years,Pakistan A,3,3,0,31,15,10.33,0,0
19,Matthew Bell,38 years,New Zealand A,2,2,0,64,59,32.0,0,1
20,Matt Horne,45 years,New Zealand A,2,2,0,119,114,59.5,1,0
