PPG,MPG,PF,ORB,DRB,TOV,FGA,FTA,APG
5.2,29.6,2.1,0.5,1.4,2.0,4.7,2.0,2.6
3.3,13.9,1.9,0.6,1.5,0.7,3.0,0.8,0.3
0.4,3.5,0.4,0.2,0.4,0.0,0.8,0.0,0.0
0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3
3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.8,24.2,1.6,0.9,3.3,1.0,7.1,1.8,0.8
0.7,7.0,1.7,0.8,0.9,0.3,0.6,0.6,0.2
1.3,8.4,0.7,0.6,1.0,0.4,1.7,0.3,0.2
1.5,8.6,1.0,0.2,0.5,0.9,1.4,1.3,1.4
0.5,3.8,1.0,0.2,0.2,0.0,0.6,0.0,0.0
3.6,14.8,1.6,0.3,1.0,1.1,4.3,1.1,1.2
16.4,36.3,2.4,0.7,2.4,2.5,11.9,5.9,3.3
19.4,36.6,2.6,1.5,4.6,2.0,13.7,6.2,1.8
11.6,30.8,2.3,1.8,3.1,1.7,11.8,1.9,1.2
2.8,9.4,1.3,0.3,0.7,0.5,2.9,0.7,0.0
5.6,16.2,2.0,1.3,2.4,0.6,4.2,2.2,0.3
6.4,19.3,1.7,0.3,1.2,1.4,6.0,1.0,1.0
0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.1,21.0,3.0,1.6,2.8,1.5,3.9,2.3,0.8
13.0,29.5,2.6,1.5,2.6,2.6,9.7,5.2,2.1
1.4,6.5,1.4,0.5,1.1,0.1,1.0,0.4,0.0
17.5,33.6,2.8,2.7,7.6,2.8,13.3,5.6,1.4
0.2,1.1,0.3,0.1,0.0,0.1,0.5,0.0,0.0
8.3,32.6,2.6,0.5,1.9,2.2,6.6,2.6,4.2
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17.9,36.0,2.2,0.9,3.4,3.0,14.1,5.8,2.7
4.4,20.2,1.6,0.8,1.0,0.8,3.8,1.4,0.8
0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0
5.5,19.0,1.6,0.6,2.1,1.0,4.5,1.3,1.0
0.0,3.0,0.3,0.0,0.3,0.7,0.3,0.0,0.3
13.7,31.1,1.7,1.1,4.0,2.2,10.0,7.0,3.5
9.4,20.8,2.6,1.3,2.9,2.0,8.0,3.4,0.6
7.7,23.3,3.2,1.9,4.2,1.4,5.5,2.1,0.4
1.4,6.7,1.1,0.6,0.8,0.6,1.1,0.7,0.1
3.2,12.2,1.6,0.4,0.8,1.0,3.4,0.9,0.6
1.4,9.5,1.8,1.3,1.2,0.9,1.5,0.7,0.5
