Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Lewis Urena,DSL,1,4,1,3,0,1,0,1,1,1,1,1,0.75,0.8,1.25,2.05
Keury De La Cruz,DSL,1,4,1,2,0,1,0,2,1,0,1,0,0.5,0.6,1.0,1.6
Leonel Escobar,DSL,1,4,1,2,1,0,0,0,0,0,0,0,0.5,0.5,0.75,1.25
Heiker Meneses,DSL,1,4,2,1,0,1,0,0,0,0,0,2,0.25,0.4,0.75,1.15
Aaron Bates,Por,28,108,22,40,7,0,6,28,0,0,10,25,0.37,0.456,0.602,1.058
Mark Wagner,Por,11,41,7,14,6,0,1,6,0,0,6,6,0.341,0.429,0.561,0.99
Ryan Lavarnway,Gre,14,49,6,15,5,0,3,10,0,0,7,13,0.306,0.397,0.592,0.988
David Mailman,Gre,23,88,13,33,9,3,0,13,6,2,8,7,0.375,0.423,0.545,0.968
Tim Federowicz,Gre,22,92,11,32,6,0,2,10,1,0,4,18,0.348,0.388,0.478,0.866
Zach Gentile,Gre,12,39,4,16,1,0,0,5,1,1,1,4,0.41,0.429,0.436,0.864
Jon Still,Por,28,102,12,29,11,1,3,18,1,0,8,31,0.284,0.362,0.5,0.862
Kade Keowen,Gre,16,62,9,18,4,0,4,10,0,0,1,17,0.29,0.313,0.548,0.861
Reid Engel,Por,20,69,10,19,8,0,2,13,2,0,9,23,0.275,0.359,0.478,0.837
Luis Exposito,Sal,23,89,10,27,10,1,1,11,2,1,4,14,0.303,0.333,0.472,0.805
Che-Hsuan Lin,Sal,28,94,16,28,6,0,1,10,4,1,14,10,0.298,0.396,0.394,0.79
Jered Stanley,Sal,13,39,7,11,1,1,0,5,1,0,10,15,0.282,0.429,0.359,0.788
Ryan Khoury,Por,25,91,20,24,7,1,0,13,2,0,22,19,0.264,0.412,0.363,0.775
Jonathan Hee,Sal,28,109,17,33,8,0,1,14,2,1,11,10,0.303,0.364,0.404,0.767
Paul McAnulty,Paw,30,111,11,27,7,1,4,14,0,0,14,29,0.243,0.333,0.432,0.766
Jonathan Van Every,Paw,17,56,5,11,2,0,3,6,0,0,13,22,0.196,0.357,0.393,0.75
Curtney Doran,DSL,1,4,0,1,1,0,0,0,0,0,0,2,0.25,0.25,0.5,0.75
Dusty Brown,Paw,20,75,6,22,2,0,2,4,0,0,4,23,0.293,0.329,0.4,0.729
Bubba Bell,Por,26,104,18,27,8,0,1,6,5,0,17,16,0.26,0.364,0.365,0.729
Travis Denker,Paw,26,86,12,22,2,0,2,4,0,0,14,22,0.256,0.36,0.349,0.709
Chip Ambres,Paw,23,85,8,22,5,1,0,4,1,1,15,18,0.259,0.366,0.341,0.708
