BLK%,DRB%,AST%,ORB%,MP
0.0,20.3,0.0,8.1,14:48
0.0,40.0,0.0,0.0,13:02
4.5,19.5,0.0,0.0,12:59
0.0,0.0,0.0,0.0,4:18
7.9,9.5,0.0,13.8,9:09
4.6,15.4,10.7,12.8,15:36
0.0,0.0,0.0,0.0,0:40
5.4,22.2,8.5,9.9,22:04
0.0,15.4,0.0,6.7,16:23
2.4,7.4,0.0,15.9,27:28
0.0,0.0,0.0,0.0,4:17
9.4,20.7,8.7,7.4,15:27
0.0,30.9,24.2,6.9,13:18
8.4,24.3,0.0,0.0,10:25
0.0,22.6,0.0,17.9,12:45
0.0,7.6,0.0,13.3,15:42
9.2,25.4,0.0,16.4,7:42
7.1,10.3,0.0,15.4,21:45
0.0,0.0,0.0,33.1,3:18
0.0,13.9,0.0,10.3,26:35
0.0,13.9,0.0,28.4,17:14
3.8,29.3,0.0,0.0,16:05
0.0,27.4,0.0,0.0,5:18
0.0,13.4,0.0,13.3,20:29
0.0,58.1,0.0,34.1,9:36
0.0,22.5,0.0,11.3,8:32
3.6,10.5,0.0,18.6,20:24
6.3,18.2,0.0,25.1,15:29
8.0,12.8,0.0,6.4,17:24
