SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1986 - 1987,HC Plzen,Czech,34,11,6,17,-,-,109,129,28,10,Saved in play-out
1987 - 1988,HC Plzen,Czech,34,12,4,18,-,-,120,141,28,9,Saved in play-out
1988 - 1989,HC Plzen,Czech,34,16,6,12,-,-,130,110,38,4,Quarterfinal loss
1989 - 1990,HC Plzen,Czech,44,13,8,23,-,-,136,156,34,10,Did not make playoffs
1990 - 1991,HC Plzen,Czech,52,26,6,20,-,-,167,150,58,5,Did not make playoffs
1991 - 1992,HC Plzen,Czech,38,21,7,10,-,-,139,112,49,1,Final loss
1992 - 1993,HC Plzen,Czech,40,12,2,26,-,-,125,153,26,14,Did not make playoffs
1993 - 1994,HC Plzen,Czech,44,15,8,21,-,-,132,140,38,9,Saved in play-out
1994 - 1995,HC Plzen,Czech,44,16,14,14,-,-,118,112,46,5,Quarterfinal loss
1995 - 1996,HC Plzen,Czech,40,12,7,21,-,-,103,134,31,11,Playoffs Qualifier loss
1996 - 1997,HC Plzen,Czech,52,19,9,24,-,-,155,172,47,11,Did not make playoffs
1997 - 1998,HC Plzen,Czech,52,24,11,17,-,-,160,146,59,5,Quarterfinal loss
1998 - 1999,HC Plzen,Czech,52,23,14,15,-,-,148,136,60,6,Quarterfinal loss
1999 - 2000,HC Plzen,Czech,52,26,11,15,-,-,151,113,63,5,Semifinal loss
2000 - 2001,HC Plzen,Czech,52,20,6,21,3,2,150,144,74,10,Did not make playoffs
2001 - 2002,HC Plzen,Czech,52,26,6,18,1,1,155,146,87,4,Quarterfinal loss
2002 - 2003,HC Plzen,Czech,52,21,4,22,2,3,137,150,71,9,Did not make playoffs
2003 - 2004,HC Plzen,Czech,52,18,7,23,3,1,138,140,68,8,Semifinal loss
2004 - 2005,HC Plzen,Czech,52,21,5,21,1,4,134,139,74,9,Did not make playoffs
2005 - 2006,HC Plzen,Czech,52,17,8,24,1,2,130,136,63,11,Did not make playoffs
2006 - 2007,HC Plzen,Czech,52,20,-,30,1,1,141,173,62,13,Did not make playoffs
2007 - 2008,HC Plzen,Czech,52,14,-,17,14,7,174,172,77,9,Playoffs Qualifier loss
2008 - 2009,HC Plzen,Czech,52,24,-,20,2,6,160,157,82,7,Semifinal loss
2009 - 2010,HC Plzen,Czech,52,29,-,10,6,7,162,128,106,1,Quarterfinal loss
2010 - 2011,HC Plzen,Czech,52,27,-,16,6,3,153,145,77,8,Playoffs Qualifier loss
2011 - 2012,HC Plzen,Czech,52,26,-,12,7,7,181,146,99,2,Semifinal loss
2012 - 2013,HC Plzen,Czech,52,21,0,14,9,8,160,131,89,3,Champion
2013 - 2014,HC Plzen,Czech,52,27,-,17,5,3,133,118,94,3,Quarterfinal loss
2014 - 2015,HC Plzen,Czech,52,19,-,23,8,2,144,133,75,7,Playoffs Qualifier loss
2015 - 2016,HC Plzen,Czech,-,-,-,-,-,-,-,-,-,-,-
