USG%,DRtg,TRB%,Date,AST%
12.8,115,8.5,2006-12-10,9.5
17.6,89,17.4,2007-02-13,5.9
7.5,100,13.6,2007-03-17,0.0
22.7,91,12.9,2006-12-08,0.0
20.4,99,14.0,2006-11-02,7.3
12.2,120,11.8,2007-03-15,0.0
8.2,95,21.2,2006-11-05,6.5
16.1,89,36.0,2007-02-14,0.0
7.7,88,9.7,2007-03-08,0.0
20.2,89,21.0,2006-12-06,8.1
18.9,95,21.8,2007-01-24,0.0
7.3,108,19.3,2006-12-16,7.4
12.4,94,8.5,2006-12-11,16.9
19.1,93,18.9,2007-02-20,6.5
6.8,83,16.5,2006-12-14,9.5
27.9,105,5.0,2007-04-18,0.0
16.4,90,17.3,2006-12-13,11.4
4.9,98,27.8,2007-01-31,0.0
14.9,95,14.4,2006-11-14,14.2
11.0,85,15.7,2006-11-22,20.1
32.5,113,29.0,2007-04-16,0.0
16.1,93,19.2,2006-11-15,20.3
12.8,96,11.0,2007-03-28,0.0
6.7,110,13.8,2006-11-19,0.0
12.3,103,13.0,2007-01-22,6.9
16.5,91,16.3,2007-03-03,9.4
0.0,92,14.6,2007-01-28,29.6
20.1,123,18.1,2006-11-27,0.0
18.5,113,8.8,2007-02-01,14.4
11.1,90,2.5,2007-03-25,5.0
14.6,86,22.3,2006-11-17,0.0
21.6,83,7.8,2007-03-02,0.0
