RBI,OBP,R,OPS,SH
2,.333,1,.745,0
28,.303,36,.635,2
13,.254,11,.495,2
17,.294,20,.618,1
1,.147,0,.272,1
0,.125,0,.125,0
9,.291,21,.578,7
0,.000,0,.000,0
0,.533,3,.833,0
13,.250,7,.637,2
3,.452,8,.869,2
4,.314,12,.575,1
4,.324,5,.543,0
53,.300,28,.767,0
35,.339,41,.796,0
19,.333,15,.652,2
22,.311,38,.643,1
4,.266,4,.488,0
46,.418,45,.902,0
2,.237,3,.437,0
2,.286,9,.582,0
11,.229,10,.438,0
3,.429,9,.901,1
2,.226,2,.404,0
6,.278,5,.499,1
42,.343,38,.876,0
21,.298,17,.651,1
24,.306,26,.609,0
19,.321,11,.766,0
14,.357,20,.635,0
14,.300,27,.507,0
9,.271,7,.693,0
20,.342,40,.698,3
7,.305,12,.587,3
10,.289,11,.674,0
1,.239,5,.448,1
18,.313,22,.731,1
1,.500,1,.786,0
23,.303,28,.642,6
0,.100,0,.200,0
34,.316,32,.711,0
40,.439,41,1.014,0
7,.300,3,.678,0
42,.305,23,.748,0
2,.375,1,.804,1
25,.331,28,.725,0
20,.343,36,.721,8
17,.302,26,.620,0
21,.305,28,.674,2
9,.333,7,.639,0
1,.259,1,.433,0
9,.348,8,.809,0
22,.236,11,.542,0
27,.348,35,.687,2
9,.283,12,.554,0
13,.350,27,.734,0
17,.263,15,.665,1
21,.312,25,.618,1
0,.286,1,.452,1
