pts,e,a,d/s,b/s,k
307.5,99,18,1.67,0.68,224
354.5,154,21,2.03,0.23,295
133.0,13,952,2.46,0.39,81
336.5,113,7,0.76,0.58,293
135.0,39,448,1.7,0.47,64
197.5,104,3,0.35,0.31,174
205.5,92,9,0.56,0.27,183
199.5,89,11,0.2,0.78,135
110.5,79,24,0.33,0.23,97
103.0,51,2,0.35,0.46,90
260.5,158,9,1.49,0.24,230
168.5,71,8,0.29,0.63,137
180.0,53,19,0.46,0.76,123
440.0,173,6,0.96,0.26,417
191.5,74,7,0.54,0.47,159
135.5,52,13,0.5,0.32,113
60.5,28,8,0.34,0.34,50
354.0,172,15,1.79,0.44,289
567.5,238,12,2.48,0.36,495
254.0,84,523,2.7,0.38,216
88.0,19,882,2.14,0.38,41
253.5,74,481,2.44,0.4,218
151.5,85,8,0.13,0.68,115
