DRB%,AST%,Tm,ORB%,G,BLK%,Age,ORtg
25.2,0.0,LAC,12.8,67,0.0,30-230,99
31.4,0.0,LAC,0.0,39,0.0,30-149,0
8.1,0.0,LAC,0.0,8,0.0,30-078,31
20.3,0.0,LAC,25.2,3,5.8,30-068,84
22.7,41.2,LAC,6.5,69,6.5,30-234,175
7.5,12.6,LAC,0.0,38,4.1,30-148,57
14.2,10.0,LAC,0.0,68,0.0,30-233,37
0.0,0.0,LAC,0.0,45,0.0,30-180,0
0.0,0.0,LAC,0.0,60,0.0,30-212,0
23.3,3.9,LAC,7.3,57,1.7,30-202,77
11.5,0.0,LAC,0.0,35,7.5,30-139,0
26.5,28.4,LAC,0.0,33,0.0,30-135,84
45.7,5.8,LAC,0.0,13,6.5,30-092,68
22.0,4.9,LAC,11.3,27,2.1,30-125,141
18.5,25.8,LAC,0.0,66,4.7,30-229,40
25.4,0.0,LAC,8.9,40,0.0,30-154,97
0.0,0.0,LAC,7.9,34,0.0,30-137,14
50.0,0.0,LAC,0.0,42,0.0,30-166,98
17.6,7.3,LAC,9.4,23,0.0,30-118,106
10.1,8.3,LAC,13.0,19,0.0,30-105,105
