No.,Name,Yr,Pos,gp,gs,min,off,def,reb,pf,dq,ast,to,a/to,stl,blk
22.0,Darren Douglas,So,G,28,19,737,9,25,34,57,0,32,26,1.2,12,1
5.0,Kevin Gill,Sr,G,28,15,623,5,58,63,36,0,37,27,1.4,14,0
24.0,Andrew Franz,So,F,28,28,852,20,147,167,57,1,92,82,1.1,31,7
21.0,Andy Kleinlein,Fr,G,26,16,523,2,44,46,33,0,31,36,0.9,18,0
12.0,Clay McLean,Jr,G,21,6,331,4,34,38,39,0,24,44,0.5,13,1
54.0,Jim Etling,Jr,F,24,7,435,9,60,69,61,3,36,16,2.3,3,10
32.0,Patrick O'Connor,Jr,F,28,23,808,21,112,133,69,0,60,41,1.5,29,7
23.0,Jok Asiyo,So,F,22,-,219,12,28,40,51,1,8,21,0.4,8,2
4.0,Stephen Himmelberg,Fr,G,9,-,40,0,3,3,3,0,2,3,0.7,2,0
10.0,Austin Piatt,Fr,G,8,-,35,0,0,0,3,0,5,2,2.5,0,0
30.0,Blake Cranor,Fr,F,9,-,58,4,2,6,8,0,3,4,0.8,1,1
55.0,Drew Kimberly,Sr,F,26,26,770,53,156,209,62,1,46,72,0.6,11,23
14.0,Franklin Wolfe,So,G,8,-,52,2,5,7,3,0,3,5,0.6,3,0
34.0,John Martin,So,F,12,-,84,1,7,8,17,1,0,5,0.0,2,0
44.0,Ryan McDonnell,Fr,F,6,-,25,3,7,10,3,0,2,0,-,1,1
42.0,Colin Murphy,Fr,F,3,-,5,0,0,0,1,0,1,0,-,0,0
33.0,Peter Rathmell,Fr,F,9,-,17,3,1,4,5,0,0,1,0.0,0,0
20.0,Jalen Twine,Fr,G,5,-,9,1,0,1,0,0,0,0,-,0,0
 ,Totals, , ,28,28,5623,182,737,919,509,-,382,385,1.0,148,53
 ,Opponent, , ,28,28,5623,291,745,1036,508,-,389,345,1.1,211,75
