ORtg,MP,DRtg,ORB%,STL%,TS%,TOV%
104,8:00,111,15.8,0.0,.798,34.7
104,16:00,106,0.0,0.0,.347,0.0
106,4:00,117,0.0,0.0,1.136,53.2
16,7:00,124,15.6,0.0,.000,75.0
142,13:00,113,0.0,0.0,.667,0.0
250,10:00,133,0.0,0.0,1.136,0.0
160,9:00,113,12.4,5.2,1.054,23.1
120,4:00,119,42.9,0.0,1.136,53.2
87,5:00,111,19.6,0.0,.500,33.3
59,21:00,115,4.3,2.3,.167,0.0
41,7:00,114,18.5,0.0,.000,0.0
73,23:00,112,4.7,0.0,.363,22.5
95,21:00,131,16.9,0.0,.432,17.8
112,21:00,110,14.3,0.0,.595,14.5
200,11:00,121,0.0,0.0,1.000,0.0
 ,3:00,94,0.0,0.0, , 
76,3:00,112,0.0,0.0,1.000,50.0
100,21:00,93,16.7,0.0,.468,14.5
119,15:00,76,24.6,6.3,.742,25.5
113,18:00,112,28.8,2.7,.340,0.0
129,16:00,113,7.0,0.0,.798,26.2
135,34:00,103,8.3,0.0,.660,0.0
93,9:00,117,12.1,0.0,.500,20.0
126,17:00,129,0.0,0.0,.628,10.2
62,4:00,126,27.3,0.0,.000,0.0
85,6:00,127,34.0,0.0,.317,0.0
171,23:00,92,21.3,2.0,.761,0.0
112,14:00,120,13.7,0.0,.543,13.4
82,19:00,112,6.5,2.6,.338,10.1
140,13:00,125,25.8,0.0,.654,0.0
115,23:00,113,4.1,4.1,.828,31.1
80,9:00,97,0.0,0.0,.750,33.3
131,15:00,118,6.8,0.0,.595,0.0
0,6:00,105,0.0,0.0,.000,0.0
68,14:00,115,28.6,0.0,.317,27.6
67,11:00,102,0.0,4.1,.515,20.5
130,12:00,119,0.0,4.1,1.064,34.7
79,19:00,87,12.6,2.2,.291,22.5
107,34:00,91,12.8,1.4,.500,14.3
171,15:00,95,8.2,0.0,.735,0.0
118,8:00,134,0.0,0.0,1.000,33.3
55,9:00,109,12.7,5.3,.347,41.0
64,3:00,98,37.2,15.3,.000,0.0
157,23:00,112,4.5,0.0,.750,0.0
116,21:00,123,5.7,0.0,.609,7.5
