GS,G,Age,TOV%,DRtg,Rk
0,20,27-063,12.7,100,20
0,26,27-075,28.6,110,26
0,7,27-001,50.0,106,7
0,4,26-361,13.4,108,4
1,12,27-032,33.8,112,12
0,30,27-084,17.0,134,30
0,13,27-040,66.7,142,13
0,52,27-154,51.0,111,52
0,53,27-156,0.0,120,53
0,42,27-131,25.8,99,42
0,6,27-000,38.5,82,6
0,14,27-042,33.3,98,14
0,3,26-359,50.0,106,3
0,41,27-130,14.3,97,41
0,23,27-068,40.0,112,23
0,28,27-078,22.2,114,28
0,37,27-121,0.0,115,37
0,24,27-070,11.1,109,24
0,27,27-076,33.3,104,27
0,35,27-117,28.6,89,35
0,49,27-147,20.0,108,49
0,36,27-120,54.5,80,36
1,8,27-014,60.0,117,8
0,5,26-363,41.0,102,5
0,47,27-142,50.0,113,47
0,2,26-358,12.7,120,2
0,18,27-056,33.3,126,18
0,10,27-028,69.4,124,10
0,25,27-073,26.2,101,25
0,22,27-066,12.5,123,22
0,17,27-053,33.3,103,17
0,50,27-148,0.0,113,50
0,33,27-113,0.0,121,33
