Rtot,Ch,DP,Rk,Age
0,21,1,48,23
0,201,18,45,28
-0,43,5,69,33
0,76,15,32,29
-6,919,94,47,35
-0,13,2,29,22
-2,1036,87,11,32
-1,8,0,43,27
0,6,1,61,35
0,3,0,42,31
-3,414,32,68,39
-0,128,11,49,24
2,281,25,34,29
2,662,74,72,27
-3,179,16,57,29
-3,131,14,79,29
1,913,80,37,27
0,89,6,8,21
1,115,10,21,36
2,431,37,66,27
0,2,0,35,27
-1,110,11,74,24
1,36,0,51,25
-0,44,4,4,33
0,166,16, , 
-0,6,0,53,34
-2,451,41,36,30
-3,304,39,7,30
0,0,0,31,31
0,6,0,75,36
-1,24,2,44,31
0,7,2,6,27
0,197,17,73,30
-0,40,3,54,31
1,34,4,16,28
