POS,Team,Player,AB
SS,VSL SEA,Y Batista,162
SS,VSL PHI,N Sosa,120
SS,VSL DET,R Torrealba,202
2B,VSL HOU,R Garcia,87
3B,VSL SLN,K Teran,243
1B,VSL TB/CIN,A Gonzalez,105
1B,VSL PIT,A Negron,221
2B,VSL SEA,C Ramirez,184
1B,VSL HOU,O Figueroa,221
3B,VSL SEA,C Fuentes,242
SS,VSL TB/CIN,M Rojas,101
1B,VSL TB/CIN,L Nakandakare,96
SS,VSL CHC/MN,G Matheus,240
3B,VSL NYN,J Torres,218
2B,VSL HOU,L Sumoza,93
C,VSL SLN,Y Alcala,130
C,VSL CHC/MN,J Guevara,191
SS,VSL TB/CIN,E Ugueto,146
2B,VSL NYN,L Nieves,226
C,VSL HOU,L Alvarez,112
2B,VSL SLN,W Vivas,136
C,VSL TB/CIN,A Torres,145
2B,VSL HOU,J Altuve,204
C,VSL HOU,J Valdes,52
C,VSL HOU,J De Aguas,113
C,VSL TB/CIN,O Cabrera,76
2B,VSL TB/CIN,H Rodriguez,206
SS,VSL SEA,R Velasquez,172
1B,VSL CHC/MN,A Martin,80
C,VSL DET,R Leiva,101
