Player,Span,Mat,Start,Sub,Pts,Tries,Conv,Pens,Drop,Won,Lost,Draw,%
JP Romeu,1972-1977,34,33,1,265,4,27,56,9,21,10,3,66.17
P Villepreux,1969-1972,20,20,0,115,1,23,21,1,10,7,3,57.5
JM Aguirre,1971-1978,29,28,1,78,2,8,18,0,19,8,2,68.96
JL Berot,1970-1974,17,17,0,23,1,1,3,3,7,6,4,52.94
L Paries,1970-1975,6,6,0,30,0,6,3,3,4,2,0,66.66
JP Bastiat,1969-1978,32,32,0,24,4,1,2,0,21,8,3,70.31
JL Dehez,1969-1969,1,1,0,11,0,1,2,1,1,0,0,100.0
M Taffary,1975-1975,4,4,0,6,0,0,2,0,2,2,0,50.0
JP Pesteil,1975-1976,3,3,0,9,0,3,1,0,1,2,0,33.33
R Astre,1971-1976,11,10,1,10,1,0,0,2,5,6,0,45.45
JL Averous,1975-1978,20,20,0,20,5,0,0,0,15,5,0,75.0
JL Azarete,1969-1975,25,25,0,0,0,0,0,0,11,10,4,52.0
C Badin,1973-1975,3,3,0,0,0,0,0,0,2,1,0,66.66
M Barrau,1971-1974,15,15,0,4,1,0,0,0,8,5,2,60.0
C Belascain,1977-1978,5,5,0,0,0,0,0,0,4,1,0,80.0
R Benesis,1969-1974,29,29,0,0,0,0,0,0,15,9,5,60.34
R Berges-Cau,1976-1976,1,0,1,0,0,0,0,0,1,0,0,100.0
R Bertranne,1971-1978,50,50,0,58,15,0,0,0,28,17,5,61.0
P Biemouret,1970-1973,17,17,0,4,1,0,0,0,8,8,1,50.0
L Bilbao,1978-1978,1,1,0,0,0,0,0,0,1,0,0,100.0
V Boffelli,1971-1975,18,18,0,8,2,0,0,0,8,8,2,50.0
JM Bonal,1969-1970,3,3,0,6,2,0,0,0,2,1,0,66.66
R Bourgarel,1969-1973,9,9,0,3,1,0,0,0,6,2,1,72.22
Y Brunet,1975-1977,2,2,0,0,0,0,0,0,1,1,0,50.0
Y Buonomo,1971-1972,3,3,0,0,0,0,0,0,2,1,0,66.66
D Bustaffa,1977-1978,5,5,0,4,1,0,0,0,2,2,1,50.0
H Cabrol,1972-1974,4,3,1,8,0,4,0,0,2,1,1,62.5
A Campaes,1972-1973,2,2,0,0,0,0,0,0,2,0,0,100.0
J Cantoni,1970-1975,17,16,1,13,3,0,0,1,6,8,3,44.11
C Carrere,1970-1971,6,6,0,0,0,0,0,0,3,2,1,58.33
E Cester,1970-1974,16,16,0,0,0,0,0,0,10,4,2,68.75
G Cholley,1975-1978,28,28,0,12,3,0,0,0,20,7,1,73.21
J Cimarosti,1976-1976,1,0,1,0,0,0,0,0,1,0,0,100.0
J Costantino,1973-1973,1,1,0,0,0,0,0,0,1,0,0,100.0
P Darbos,1969-1969,1,1,0,0,0,0,0,0,1,0,0,100.0
A Darrieussecq,1973-1973,1,1,0,0,0,0,0,0,0,1,0,0.0
B Dauga,1969-1972,18,18,0,16,5,0,0,0,8,7,3,52.77
G Delaigue,1973-1973,2,2,0,4,1,0,0,0,2,0,0,100.0
L Desnoyer,1974-1974,1,1,0,0,0,0,0,0,0,1,0,0.0
P Dospital,1977-1977,1,1,0,0,0,0,0,0,1,0,0,100.0
C Dourthe,1971-1975,18,17,1,28,7,0,0,0,10,6,2,61.11
M Droitecourt,1972-1977,17,16,1,14,2,3,0,0,9,6,2,58.82
A Dubertrand,1971-1976,12,12,0,20,5,0,0,0,8,2,2,75.0
D Dubois,1971-1971,1,1,0,0,0,0,0,0,1,0,0,100.0
B Duprat,1972-1972,4,4,0,16,4,0,0,0,1,2,1,37.5
A Esteve,1971-1975,20,20,0,0,0,0,0,0,7,11,2,40.0
JM Etchenique,1974-1975,4,4,0,4,1,0,0,0,2,2,0,50.0
M Etcheverry,1971-1971,2,2,0,0,0,0,0,0,1,0,1,75.0
J Fouroux,1972-1977,27,27,0,20,5,0,0,0,17,7,3,68.51
J Gallion,1978-1978,4,4,0,12,3,0,0,0,3,1,0,75.0
