Product,Developer,Pagination,Rotation Lock,Auto-scroll,Progress indicator,Backward/forward,Table of Contents,Bookmarks,Resume,Cloud synchronisation,Go To,Full text search
Apabi Reader[1],Beijing Founder Apabi Technology Limited,Yes,Yes,No,In library and in-book,Yes,Yes,Unlimited,Yes,No,Yes,Yes
Blio[2],"K-NFB Reading Technology, Inc.",Yes,No,No,In-book only,Yes,Yes,Unlimited,Yes,No,Yes,Yes
Bluefire Reader[3],Bluefire Productions,Yes,Yes,No,In-book only,Yes,Yes,Unlimited,Yes,Yes,Yes,Yes
DL Reader[4],"Datalogics, Inc",Yes,Yes,No,In-book only,Yes,Yes,Unlimited,Yes,No,Yes,Yes
eBookMobi[5],Tien Thinh Vu,Yes,"support on iPad, portrait only on iPhone",No,In library and in-book,Yes,Yes,Unlimited,Yes,No,Yes,No
Ebook Reader[6],Ebooks.com Limited,Yes,Yes,No,In library and in-book,Yes,Yes,Unlimited,Yes,Yes,Yes,Yes
i2Reader[7],Yuriy Melyushin,Yes,Yes,Yes,In-book only,Yes,Yes,Unlimited,Yes,No,Yes,Yes
iBooks[8],Apple,Yes,No,Manual,In-book only,Yes,Yes,Unlimited,Yes,Yes,Yes,Yes
Kindle[9],AMZN Mobile LLC,Yes,Yes,No,In library and in-book,Yes,Yes,Unlimited,Yes,Yes,Yes,Yes
Kobo Reading App[10],Kobo Inc.,Yes,Yes,No,In-book only,Yes,Yes,Last place marker only,Yes,Yes,Yes,No
KyBook Reader[11],Konstantin Bukreev,Yes,Yes,No,In library and in-book,Yes,Yes,Unlimited,Yes,No,Yes,Yes
Marvin[12],Appstafarian,Yes,Yes,No,In library and in-book,Configurable,Yes,Unlimited,Yes,Optional,Yes,Yes
MegaReader[13],"Inkstone Software, Inc.",Yes,Yes,No,In-book only,Yes,Yes,Unlimited,Yes,No,Yes,No
PocketBook reader[14],Obreey Products,Yes,Yes,Yes,In-book only,Yes,Yes,Yes,Yes,No,Yes,Yes
ShuBook[15],Ambibma Ltd.,Yes,Yes,No,In library and in-book,Yes,Yes,Unlimited,Yes,No,Yes,Yes
Stanza[16],Lexcycle,Configurable,Yes,No,In library and in-book,Configurable,Yes,Unlimited,Yes,No,Yes,Yes
uBooks[17],NIX Solutions Ltd,Mixed scrolling & pagination,Yes,Yes,In-book only,Yes,Yes,Unlimited,Yes,No,Yes,Yes
iBouquiniste[18],Sandr,Yes,Yes,No,In-book only,Yes,Yes,Unlimited,Yes,Yes,Yes,Yes
