eFG%,G,GmSc,Tm,ORtg,DRtg
.286,15,0.8,PHI,67,111
.500,48,1.0,PHI,79,124
.500,26,10.0,PHI,113,114
.667,24,3.7,PHI,151,100
1.000,3,3.7,PHI,91,103
.333,45,1.8,PHI,58,84
1.000,39,6.3,PHI,100,89
.000,17,-0.7,PHI,0,111
.333,36,-1.5,PHI,51,101
.500,16,9.0,PHI,108,103
.600,70,4.6,PHI,86,99
.400,8,1.9,PHI,85,98
 ,51,-2.8,PHI,0,125
.500,28,3.5,PHI,125,97
.500,31,2.4,PHI,85,102
.000,63,-0.1,PHI,0,59
1.000,11,7.4,PHI,200,116
.667,5,5.5,PHI,96,110
.000,60,-0.4,PHI,0,106
.200,50,1.6,PHI,76,96
.833,37,8.4,PHI,110,126
.333,6,1.8,PHI,99,109
.000,43,-0.1,PHI,68,124
.375,49,2.5,PHI,75,91
.333,58,0.2,PHI,48,104
.000,40,1.0,PHI,55,96
1.000,9,8.4,PHI,202,121
.000,19,-2.0,PHI,47,110
.000,7,-1.1,PHI,22,115
