Sr. No,Name,Age,Team,Mats,Inns,N.O.,Runs,HS,AVG,100,50
21,Khawar Butt,--,Pakistan Universities,1,2,0,45,31,22.5,0,0
22,Maurice Tompkin,97 years,Marylebone Cricket Club,12,16,1,334,85,22.27,0,2
23,Roy Swetman,82 years,Marylebone Cricket Club,9,11,2,197,45,21.89,0,0
24,Waqar Hasan,83 years,Pakistan,6,10,1,197,62,21.89,0,1
25,Peter Sainsbury,81 years,Marylebone Cricket Club,10,11,5,130,32,21.67,0,0
26,Abdul Aziz,81 years,Pakistan Universities,1,2,1,21,17,21.0,0,0
27,Qamar Yousuf,--,Combined Services,1,2,0,42,42,21.0,0,0
28,Donald Carr,89 years,Marylebone Cricket Club,12,17,2,310,61,20.67,0,1
29,Sagheer Mirza,--,Railways and Baluchistan,1,2,0,40,23,20.0,0,0
30,Afzal Khan,--,North West Frontier Province and Bahawalpur,1,2,0,39,30,19.5,0,0
31,Mohammad Yousuf,80 years,North West Frontier Province and Bahawalpur,1,2,0,39,30,19.5,0,0
32,Raees Mohammad,83 years,Karachi,2,4,0,75,31,18.75,0,0
33,Allan Watkins,93 years,Marylebone Cricket Club,12,15,1,256,59,18.29,0,2
34,Tony Lock,86 years,Marylebone Cricket Club,11,15,2,237,62,18.23,0,1
35,Fazal Mahmood,89 years,Punjab,6,9,1,141,45,17.63,0,0
36,Ikram Qureshi,91 years,Karachi,1,1,0,17,17,17.0,0,0
37,Ehsan-ul-Haq,88 years,Railways and Baluchistan,1,2,0,33,29,16.5,0,0
38,Hasan Ahmed,--,North West Frontier Province and Bahawalpur,1,2,0,31,17,15.5,0,0
39,Harold Stephenson,95 years,Marylebone Cricket Club,9,10,2,122,39,15.25,0,0
40,Altaf Ahmed,--,North West Frontier Province and Bahawalpur,1,2,0,30,19,15.0,0,0
