Batter,Team,AB,H,AVG,2B,3B,HR,RBI,BB,K,SB,CS,SLG,OBP,OPS
Austin Jackson,SEA,12,2,0.167,0,1,0,3,0,6,0,0,0.333,0.167,0.5
Trevor Plouffe,MIN,11,3,0.273,1,0,0,1,1,3,0,0,0.364,0.333,0.697
Miguel Cabrera,DET,10,5,0.5,1,0,0,4,2,3,0,0,0.6,0.5,1.1
Ian Kinsler,DET,10,4,0.4,1,0,0,2,1,3,4,0,0.5,0.417,0.917
Alexei Ramirez,CHI-A,10,3,0.3,1,0,0,4,0,1,0,0,0.4,0.3,0.7
Victor Martinez,DET,10,2,0.2,0,0,0,0,1,4,0,0,0.2,0.273,0.473
Yoenis Cespedes,DET,9,4,0.444,2,0,0,5,0,2,1,0,0.667,0.444,1.111
Torii Hunter,MIN,9,1,0.111,1,0,0,1,3,4,0,0,0.222,0.333,0.556
Josh Willingham, ,8,3,0.375,1,0,0,3,0,0,0,0,0.5,0.375,0.875
Billy Butler,OAK,8,1,0.125,0,0,0,0,0,0,0,0,0.125,0.125,0.25
Conor Gillaspie,ANA,8,1,0.125,0,0,0,0,2,4,0,0,0.125,0.3,0.425
Alcides Escobar,KC,7,3,0.429,1,0,0,0,0,1,0,0,0.571,0.429,1.0
Jose Altuve,HOU,7,2,0.286,0,0,0,0,0,2,0,0,0.286,0.286,0.571
Oswaldo Arcia,MIN,7,2,0.286,1,0,0,1,1,5,0,0,0.429,0.375,0.804
Dayan Viciedo,OAK,7,2,0.286,0,0,0,0,2,4,0,0,0.286,0.444,0.73
Robinson Cano,SEA,7,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Omar Infante,KC,6,3,0.5,0,1,0,3,1,3,0,0,0.833,0.571,1.405
Adrian Beltre,TEX,6,2,0.333,0,0,0,0,1,0,0,0,0.333,0.429,0.762
Josh Donaldson,TOR,6,2,0.333,0,0,0,0,1,2,0,0,0.333,0.429,0.762
Ryan Doumit, ,6,2,0.333,0,0,0,1,0,1,0,0,0.333,0.333,0.667
Adam Dunn, ,6,2,0.333,0,0,0,2,0,2,0,0,0.333,0.286,0.619
Eric Hosmer,KC,6,2,0.333,1,0,1,1,0,0,0,0,1.0,0.333,1.333
Salvador Perez,KC,6,2,0.333,0,0,0,1,1,2,0,0,0.333,0.429,0.762
Alex Avila,DET,6,1,0.167,1,0,0,0,2,3,0,0,0.333,0.375,0.708
Chris Carter,HOU,6,1,0.167,0,0,0,1,2,2,0,0,0.167,0.375,0.542
Rajai Davis,DET,6,1,0.167,0,0,0,0,1,2,1,0,0.167,0.286,0.452
Lorenzo Cain,KC,6,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Dexter Fowler,CHI-N,6,0,0.0,0,0,0,0,0,3,0,0,0.0,0.0,0.0
Elvis Andrus,TEX,5,4,0.8,1,0,0,1,1,0,0,0,1.0,0.833,1.833
Alex Gordon,KC,5,3,0.6,1,0,2,3,1,1,1,0,2.0,0.667,2.667
Seth Smith,SEA,5,3,0.6,2,0,0,1,0,1,0,0,1.0,0.6,1.6
Alejandro De Aza,BOS,5,2,0.4,1,0,0,1,1,2,0,0,0.6,0.5,1.1
Adam Eaton,CHI-A,5,2,0.4,1,0,0,0,0,2,0,0,0.6,0.4,1.0
Tyler Flowers,CHI-A,5,2,0.4,0,0,1,3,0,2,0,0,1.0,0.4,1.4
J.D. Martinez,DET,5,2,0.4,0,0,2,4,0,0,0,0,1.6,0.4,2.0
Mike Moustakas,KC,5,2,0.4,0,0,0,0,1,2,0,0,0.4,0.5,0.9
Jose Abreu,CHI-A,5,1,0.2,0,0,0,0,1,2,0,0,0.2,0.333,0.533
Melky Cabrera,CHI-A,5,1,0.2,0,0,0,1,0,0,0,1,0.2,0.2,0.4
Brian Dozier,MIN,5,1,0.2,0,0,0,0,2,3,0,0,0.2,0.429,0.629
Stephen Drew,NY-A,5,1,0.2,0,1,0,0,0,2,0,0,0.6,0.2,0.8
Prince Fielder,TEX,5,1,0.2,0,0,1,1,2,2,0,0,0.8,0.429,1.229
Jhonny Peralta,STL,5,1,0.2,1,0,0,2,0,1,0,0,0.4,0.2,0.6
Kurt Suzuki,MIN,5,1,0.2,1,0,0,0,1,0,0,0,0.4,0.333,0.733
Jarrod Dyson,KC,5,0,0.0,0,0,0,0,1,4,1,0,0.0,0.167,0.167
Daniel Nava,BOS,5,0,0.0,0,0,0,0,0,3,0,0,0.0,0.0,0.0
Alex Rios,KC,5,0,0.0,0,0,0,0,0,2,1,0,0.0,0.0,0.0
Leonys Martin,TEX,4,3,0.75,1,0,0,0,0,1,0,0,1.0,0.75,1.75
Avisail Garcia,CHI-A,4,2,0.5,1,0,0,0,1,2,1,0,0.75,0.6,1.35
James Loney,TB,4,2,0.5,1,0,0,2,0,1,0,0,0.75,0.5,1.25
Emilio Bonifacio,CHI-A,4,1,0.25,1,0,0,0,1,3,0,0,0.5,0.4,0.9
Jacoby Ellsbury,NY-A,4,1,0.25,0,0,1,1,0,0,0,0,1.0,0.25,1.25
Pedro Florimon,PIT,4,1,0.25,0,0,0,0,0,1,0,0,0.25,0.25,0.5
Josh Hamilton,TEX,4,1,0.25,0,0,0,0,0,1,0,0,0.25,0.25,0.5
Mike Napoli,BOS,4,1,0.25,1,0,0,3,0,2,0,0,0.5,0.25,0.75
Brayan Pena,CIN,4,1,0.25,1,0,0,2,0,1,0,0,0.5,0.2,0.7
A.J. Pierzynski,ATL,4,1,0.25,0,0,0,0,0,1,0,0,0.25,0.25,0.5
Josh Reddick,OAK,4,1,0.25,0,0,0,0,0,1,0,0,0.25,0.25,0.5
Denard Span,WAS,4,1,0.25,0,0,0,0,1,1,0,0,0.25,0.4,0.65
Jason Castro,HOU,4,0,0.0,0,0,0,0,1,3,1,0,0.0,0.2,0.2
Andy Dirks, ,4,0,0.0,0,0,0,0,1,2,0,0,0.0,0.2,0.2
Leury Garcia,CHI-A,4,0,0.0,0,0,0,0,0,4,0,0,0.0,0.0,0.0
Chris Herrmann,MIN,4,0,0.0,0,0,0,0,0,4,0,0,0.0,0.0,0.0
Nick Markakis,ATL,4,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Brian Roberts, ,4,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Grady Sizemore,TB,4,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Ichiro Suzuki,MIA,4,0,0.0,0,0,0,0,0,3,0,0,0.0,0.0,0.0
Jeff Keppinger, ,3,2,0.667,0,0,0,3,0,0,0,0,0.667,0.667,1.333
Eugenio Suarez,CIN,3,2,0.667,1,0,0,0,0,1,0,0,1.0,0.667,1.667
