Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
Totals:, , , , , , , ,0,0,0.00K,0.00K
ATKINSON,HENRY CO.,IL,03/31/2007,15:00,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
STRONGHURST,HENDERSON CO.,IL,03/31/2007,16:05,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
ALEDO,MERCER CO.,IL,03/31/2007,16:30,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
CARMAN,HENDERSON CO.,IL,03/31/2007,16:30,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
ANDALUSIA,ROCK ISLAND CO.,IL,03/31/2007,16:53,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
SAVANNA,CARROLL CO.,IL,03/31/2007,17:05,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
ELIZABETH,JO DAVIESS CO.,IL,03/31/2007,17:10,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
GALENA,JO DAVIESS CO.,IL,03/31/2007,17:10,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
WOODBINE,JO DAVIESS CO.,IL,03/31/2007,17:10,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
PRAIRIE CITY,MCDONOUGH CO.,IL,03/31/2007,17:59,CST-6,Thunderstorm Wind,58 kts. EG,0,0,0.00K,0.00K
HENNEPIN,PUTNAM CO.,IL,03/31/2007,19:25,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
TISKILWA,BUREAU CO.,IL,03/31/2007,19:30,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
Totals:, , , , , , , ,0,0,0.00K,0.00K
