Tm,TRB%,Opp,eFG%,AST%
SAS,16.9,DAL,.333,42.3
UTA,0.0,WSB,.000,0.0
UTA,0.0,POR,.250,0.0
SAS,15.6,PHI,.667,16.7
SAS,0.0,CHI, ,0.0
SAS,7.3,GSW,.250,6.5
SAS,8.1,IND, ,0.0
SAS,0.0,MIA,.250,10.5
SAS,5.6,GSW,.400,13.8
SAS,0.0,NJN,1.500,-1000.0
UTA,9.0,PHO, ,0.0
SAS,6.8,UTA,.600,21.3
SAS,0.0,DEN,.000,0.0
UTA,0.0,HOU,.000,0.0
SAS,5.2,DEN,.000,12.7
UTA,0.0,SAS, ,0.0
SAS,11.2,CLE,.500,36.5
SAS,0.0,CHI,.000,28.6
SAS,0.0,UTA,.000,0.0
UTA,0.0,LAL,.500,52.2
SAS,5.2,LAL,.333,13.0
SAS,0.0,WSB, ,0.0
SAS,7.9,DEN,.000,11.5
UTA,0.0,SEA, ,0.0
SAS,51.6,SEA,.500,0.0
UTA,5.8,SAC,.333,16.3
SAS,0.0,LAC,.667,0.0
SAS,0.0,PHO,.000,11.9
SAS,7.0,PHO,.667,17.6
UTA,12.4,SAC,.000,0.0
SAS,0.0,HOU, ,0.0
