MP,TS%,Rk,eFG%,DRB%
6:37, ,15, ,22.0
7:41, ,44, ,43.6
9:17, ,16, ,17.2
16:52,.694,57,.500,16.7
5:09,.500,48,.500,25.2
12:26,1.136,3, ,19.8
4:58, ,10, ,0.0
17:32,.602,64,.500,44.6
13:02,.798,4,1.000,24.6
22:12,.798,62,.667,34.1
20:31,.174,22,.000,16.3
31:50,.200,21,.200,29.4
26:36,.615,34,.500,21.8
4:23, ,53, ,0.0
14:23,.000,5,.000,8.1
23:22,.676,63,.750,13.7
7:43,.000,9,.000,24.4
29:18,.333,29,.333,34.4
18:57,1.136,60, ,32.7
12:04,.532,43,.000,18.9
27:26,.840,27,.667,36.6
6:02, ,55, ,0.0
10:07,.667,52,.667,35.6
5:43, ,40, ,37.3
11:28,.906,18,1.000,34.9
22:57, ,33, ,7.2
12:47,.673,42,.667,17.5
10:21,.000,12,.000,33.9
25:45,.266,28,.000,50.8
28:01,.820,35,.750,12.5
33:43,.129,26,.000,14.6
0:02, ,54, ,0.0
11:04,.000,20,.000,11.4
8:27,1.000,51,1.000,48.7
11:08,.500,19,.500,9.6
8:57,1.136,49, ,39.2
20:17,.525,7,.333,11.8
