eFG%,ORtg,TRB%,Tm,STL%,BLK%,TS%
.667,63,4.5,NJN,6.2,0.0,.667
.000,83,8.0,NJN,2.1,2.6,.266
.000,56,3.7,NJN,0.0,0.0,.266
.200,91,27.5,NJN,0.0,8.1,.184
.667,164,15.5,NJN,0.0,4.8,.667
.000,119,15.1,NJN,0.0,0.0,.174
.000,38,13.4,NJN,0.0,2.5,.000
 ,244,6.4,NJN,0.0,8.7,1.136
.500,59,17.0,NJN,0.0,0.0,.500
.500,78,10.0,NJN,0.0,3.6,.500
1.000,77,12.0,NJN,0.0,0.0,1.042
.000,0,0.0,NJN,0.0,0.0,.000
.000,31,10.5,NJN,0.0,0.0,.000
.400,103,11.0,NJN,2.9,1.8,.518
.000,0,23.9,NJN,0.0,8.9,.000
 ,74,8.8,NJN,0.0,0.0, 
.750,98,1.9,NJN,0.0,0.0,.678
1.000,116,12.6,NJN,2.0,3.4,.625
 ,0,6.8,NJN,0.0,2.6, 
 ,233,10.4,NJN,0.0,0.0, 
.200,114,10.5,NJN,2.1,0.0,.486
 ,152,7.0,NJN,0.0,10.6,.568
1.000,75,9.2,NJN,0.0,4.4,1.000
.333,109,9.3,NJN,0.0,0.0,.333
1.000,88,8.8,NJN,0.0,0.0,.798
1.000,156,5.6,NJN,0.0,0.0,.798
.500,65,8.9,NJN,0.0,3.6,.500
.000,15,13.3,NJN,0.0,0.0,.000
 ,70,9.7,NJN,0.0,3.3,.568
.500,77,10.2,NJN,1.6,0.0,.532
.250,94,12.6,NJN,2.1,0.0,.410
.500,115,16.2,NJN,0.0,2.2,.450
.667,132,11.8,NJN,0.0,0.0,.673
 ,0,5.4,NJN,0.0,0.0, 
 ,99,12.3,NJN,0.0,3.0,.568
 ,59,19.1,NJN,4.5,0.0, 
 ,105,8.2,NJN,1.7,0.0,.284
.000,39,15.9,NJN,3.3,0.0,.129
.000,64,9.4,NJN,0.0,0.0,.000
.000,0,3.9,NJN,0.0,0.0,.000
.000,30,9.2,NJN,0.0,0.0,.000
 , ,13.3,NJN,0.0,5.7, 
1.000,92,8.5,NJN,2.6,0.0,.694
 ,89,15.0,NJN,0.0,0.0, 
.500,157,12.3,NJN,0.0,0.0,.665
