Sr. No,Name,Age,Team,Mats,Inns,N.O.,Runs,HS,AVG,100,50
121,Mohammad Fayyaz,31 years,Peshawar Panthers,4,4,0,104,36,26.0,0,0
122,Wasim Naeem,40 years,Karachi Zebras,3,3,0,78,56,26.0,0,1
123,Bilal Khan,28 years,Peshawar Panthers,1,1,0,26,26,26.0,0,0
124,Rahat Ali,27 years,Multan Tigers,4,3,2,26,12,26.0,0,0
125,Imran Qadir,33 years,Pakistan Customs,4,4,0,104,57,26.0,0,1
126,Suleman Khan,32 years,Lahore Lions,4,4,0,104,42,26.0,0,0
127,Khurram Shehzad,34 years,Sui Northern Gas Pipelines Limited,8,8,1,182,38,26.0,0,0
128,Tanvir Ahmed,37 years,Karachi Zebras,4,3,1,52,43,26.0,0,0
129,Nauman Alavi,29 years,Pakistan International Airlines,6,3,2,26,17,26.0,0,0
130,Mohammad Yousuf,41 years,Water and Power Development Authority,4,4,0,103,83,25.75,0,1
131,Abdul Mannan,27 years,Faisalabad Wolves,4,4,0,102,49,25.5,0,0
132,Abdur Rehman,35 years,Habib Bank Limited,10,9,4,126,50,25.2,0,1
133,Shan Masood,26 years,Karachi Zebras,1,1,0,25,25,25.0,0,0
134,Mohammad Bilal,28 years,Water and Power Development Authority,6,5,0,125,61,25.0,0,1
135,Farhan Khan,25 years,Lahore Eagles,7,4,3,25,14,25.0,0,0
136,Fahad Masood,34 years,Habib Bank Limited,10,7,2,122,64,24.4,0,1
137,Sajid Shah,41 years,Habib Bank Limited,10,8,0,192,82,24.0,0,2
138,Ali Khan,26 years,Khan Research Laboratories,9,7,1,144,54,24.0,0,1
139,Tahir Khan,35 years,Pakistan International Airlines,8,4,0,96,65,24.0,0,1
140,Yasim Murtaza,25 years,Rawalpindi Rams,8,6,1,119,53,23.8,0,1
