H,C-G#,HBP,BB,SB,Team
2,1056,0,1,0,NYA
2,1500,0,0,0,TEX
4,636,0,1,0,SFN
3,170,0,0,0,SFN
2,49,0,1,0,SFN
0,568,0,0,0,SFN
2,288,0,0,0,SFN
1,249,0,2,3,SFN
0,1761,0,4,0,SLN
4,650,0,0,0,SFN
3,553,1,1,2,SFN
0,1210,0,0,0,CAL
1,767,0,3,1,SFN
4,459,0,1,0,SFN
0,755,0,0,0,SFN
3,1511,0,0,1,TEX
4,331,0,0,0,SFN
2,538,0,0,0,SFN
1,1249,0,0,1,CAL
4,101,0,0,0,SFN
0,1230,0,0,0,CAL
2,156,0,1,0,SFN
2,8,0,0,1,SFN
2,199,0,0,0,SFN
0,615,0,0,0,SFN
2,266,0,1,3,SFN
1,1778,0,3,3,SLN
3,1065,0,0,0,NYA
3,903,0,1,1,SFN
0,1393,0,0,0,CAL
2,1545,0,0,0,TEX
2,1382,0,0,0,CAL
1,318,0,2,3,SFN
3,736,0,2,1,SFN
1,1158,0,4,0,NYA
4,481,0,0,0,SFN
2,838,0,0,0,SFN
1,1000,0,2,1,SFN
4,1110,0,0,1,NYA
0,340,0,1,1,SFN
2,569,0,0,0,SFN
2,836,0,1,0,SFN
3,549,0,0,0,SFN
2,312,0,0,0,SFN
4,489,0,0,0,SFN
0,14,0,0,0,SFN
2,204,0,0,0,SFN
4,762,0,1,1,SFN
