Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
Wandy Rodriguez,TEX,37,5,1,0,0,0,1,15,1,1,0.135,0.158,0.162,0.32
Cliff Lee,PHI,34,12,1,2,2,4,1,8,1,1,0.353,0.389,0.676,1.065
Jaime Garcia,STL,31,10,2,1,0,2,0,4,0,0,0.323,0.323,0.452,0.774
Edinson Volquez,KC,31,9,0,0,3,3,0,6,1,1,0.29,0.29,0.581,0.871
Homer Bailey,CIN,30,5,2,0,0,3,5,4,1,0,0.167,0.286,0.233,0.519
Adam Wainwright,STL,26,9,2,0,1,3,0,4,0,0,0.346,0.393,0.538,0.931
Lance Lynn,STL,26,4,0,0,0,0,2,14,0,0,0.154,0.214,0.154,0.368
Mat Latos,LA,24,10,2,1,2,8,0,3,0,0,0.417,0.417,0.833,1.25
Mark Buehrle,TOR,24,8,2,1,2,6,0,7,0,0,0.333,0.333,0.75,1.083
Bronson Arroyo,LA,23,5,1,0,0,0,2,7,0,0,0.217,0.28,0.261,0.541
A.J. Burnett,PIT,22,6,2,0,0,2,2,5,5,0,0.273,0.333,0.364,0.697
Shelby Miller,ATL,22,3,1,0,1,1,1,8,0,0,0.136,0.174,0.318,0.492
Francisco Liriano,PIT,21,10,1,1,2,4,3,4,0,0,0.476,0.542,0.905,1.446
Gavin Floyd,CLE,21,7,2,2,0,1,1,2,0,0,0.333,0.364,0.619,0.983
Paul Maholm, ,20,9,2,0,2,4,0,3,0,0,0.45,0.5,0.85,1.35
Clayton Kershaw,LA,20,6,2,0,1,4,1,3,0,0,0.3,0.364,0.55,0.914
Joe Kelly,BOS,19,7,2,1,0,2,1,5,0,0,0.368,0.429,0.579,1.008
Jeff Locke,PIT,19,6,1,0,1,4,3,2,1,0,0.316,0.458,0.526,0.985
Kyle Kendrick,COL,19,4,2,0,0,1,1,5,0,0,0.211,0.25,0.316,0.566
John Danks,CHI-A,19,3,0,0,0,0,3,3,0,0,0.158,0.273,0.158,0.431
Edwin Jackson, ,19,2,1,0,0,1,0,5,0,0,0.105,0.105,0.158,0.263
Mike Leake,SF,18,7,1,1,0,3,2,1,0,0,0.389,0.409,0.556,0.965
J.A. Happ,PIT,18,5,1,1,0,2,2,4,0,0,0.278,0.35,0.444,0.794
Cole Hamels,TEX,18,4,1,0,0,1,0,4,1,0,0.222,0.25,0.278,0.528
Armando Galarraga, ,17,5,2,0,0,1,2,5,0,0,0.294,0.4,0.412,0.812
Travis Wood,CHI-N,17,4,0,0,1,3,4,4,0,0,0.235,0.381,0.412,0.793
Zack Greinke,LA,17,3,1,0,1,4,1,7,0,0,0.176,0.222,0.412,0.634
Tim Lincecum,SF,17,3,0,0,1,3,0,7,0,0,0.176,0.222,0.353,0.575
Vance Worley,PIT,17,3,3,0,0,2,0,3,0,0,0.176,0.176,0.353,0.529
Jon Niese,NY-N,16,5,0,0,0,0,2,6,0,0,0.313,0.421,0.313,0.734
Jason Hammel,CHI-N,16,4,1,0,0,1,0,2,1,0,0.25,0.294,0.313,0.607
Wade Miley,BOS,15,5,1,1,1,2,1,2,0,0,0.333,0.375,0.733,1.108
Nate Robertson, ,15,5,1,0,0,0,1,2,0,0,0.333,0.375,0.4,0.775
Ervin Santana,MIN,15,5,1,0,1,2,0,6,0,0,0.333,0.333,0.6,0.933
Joe Saunders,SEA,15,5,1,1,0,1,1,3,0,1,0.333,0.375,0.533,0.908
Zach Duke,CHI-A,15,4,1,0,0,1,1,3,1,0,0.267,0.313,0.333,0.646
Jordan Lyles,COL,14,6,2,0,0,1,1,1,2,0,0.429,0.467,0.571,1.038
Mike Minor,ATL,14,4,0,0,1,1,2,5,1,0,0.286,0.375,0.5,0.875
Madison Bumgarner,SF,14,3,0,0,0,1,3,3,0,0,0.214,0.353,0.214,0.567
Julio Teheran,ATL,14,3,0,0,1,1,2,9,0,0,0.214,0.353,0.429,0.782
Jon Lester,CHI-N,14,1,0,0,0,1,0,4,1,0,0.071,0.071,0.071,0.143
R.A. Dickey,TOR,13,7,0,0,1,2,0,1,0,0,0.538,0.571,0.769,1.341
Charlie Morton,PIT,13,5,0,0,1,3,1,3,0,0,0.385,0.4,0.615,1.015
Brett Myers, ,13,5,0,1,1,2,1,1,0,0,0.385,0.429,0.769,1.198
Carlos Villanueva,STL,13,4,1,0,0,0,2,7,0,0,0.308,0.4,0.385,0.785
Brian Bannister, ,13,3,0,0,0,1,0,1,0,0,0.231,0.214,0.231,0.445
Kyle Lohse,MIL,13,3,2,0,0,0,2,2,0,0,0.231,0.333,0.385,0.718
Sidney Ponson, ,13,3,2,0,0,1,0,1,0,0,0.231,0.231,0.385,0.615
CC Sabathia,NY-A,13,3,0,0,1,1,0,4,0,1,0.231,0.231,0.462,0.692
Bud Norris,BAL,13,1,0,0,0,1,1,5,0,0,0.077,0.25,0.077,0.327
Gerrit Cole,PIT,12,5,0,1,0,0,1,3,0,1,0.417,0.5,0.583,1.083
Erik Bedard, ,12,4,0,1,1,3,2,3,0,0,0.333,0.429,0.75,1.179
Kevin Correia,PHI,12,4,0,0,3,6,1,1,0,0,0.333,0.4,1.083,1.483
Johnny Cueto,KC,12,4,1,0,2,2,0,4,0,0,0.333,0.333,0.917,1.25
Jeff Samardzija,CHI-A,12,4,0,1,3,6,0,3,0,0,0.333,0.357,1.25,1.607
Bartolo Colon,NY-N,12,3,1,1,0,3,0,2,0,0,0.25,0.25,0.5,0.75
Jake Peavy,SF,12,3,0,0,0,1,2,5,0,0,0.25,0.357,0.25,0.607
Miguel Batista, ,12,2,0,0,0,1,0,2,0,0,0.167,0.167,0.167,0.333
Gio Gonzalez,WAS,12,1,1,0,0,1,1,2,0,0,0.083,0.143,0.167,0.31
Trevor Rosenthal,STL,12,1,0,0,0,0,1,8,0,0,0.083,0.154,0.083,0.237
Jordan Zimmermann,WAS,12,0,0,0,0,0,2,8,0,0,0.0,0.143,0.0,0.143
Matt Cain,SF,11,3,1,0,1,2,0,4,0,0,0.273,0.333,0.636,0.97
Francisco Cordero, ,11,3,0,0,0,0,0,2,0,0,0.273,0.273,0.273,0.545
Ted Lilly, ,11,3,1,0,1,1,1,1,0,0,0.273,0.333,0.636,0.97
Gil Meche, ,11,3,2,0,0,2,1,4,0,0,0.273,0.333,0.455,0.788
Barry Zito,OAK,11,3,0,0,1,1,0,3,0,0,0.273,0.273,0.545,0.818
Paul Byrd, ,11,2,0,0,0,0,0,1,0,1,0.182,0.182,0.182,0.364
Roberto Hernandez,HOU,11,2,1,0,1,1,0,3,0,0,0.182,0.182,0.545,0.727
John Lackey,STL,11,2,0,0,0,1,0,3,0,0,0.182,0.182,0.182,0.364
Justin Verlander,DET,11,1,1,0,0,2,0,3,0,0,0.091,0.167,0.182,0.348
Aaron Laffey,COL,11,0,0,0,0,0,2,2,0,0,0.0,0.154,0.0,0.154
Nick Masset, ,10,6,3,0,0,3,0,2,0,0,0.6,0.6,0.9,1.5
Clayton Richard,CHI-N,10,6,2,0,1,2,0,0,0,0,0.6,0.6,1.1,1.7
Santiago Casilla,SF,10,4,2,0,0,1,1,2,1,0,0.4,0.455,0.6,1.055
Jacob deGrom,NY-N,10,4,0,0,0,1,0,3,0,0,0.4,0.4,0.4,0.8
Ryan Vogelsong,SF,10,4,0,1,1,3,1,1,0,0,0.4,0.417,0.9,1.317
Jake Arrieta,CHI-N,10,3,0,0,1,2,2,0,0,0,0.3,0.417,0.6,1.017
Joe Blanton,PIT,10,3,1,0,0,1,0,4,0,0,0.3,0.3,0.4,0.7
Ryan Dempster, ,10,3,0,0,0,0,1,1,0,0,0.3,0.364,0.3,0.664
Roy Halladay, ,10,3,0,0,1,3,0,3,0,0,0.3,0.364,0.6,0.964
Aaron Harang,PHI,10,3,0,0,1,1,0,3,0,0,0.3,0.3,0.6,0.9
Alfredo Simon,DET,10,3,2,0,0,2,0,1,0,0,0.3,0.3,0.5,0.8
Jeff Suppan, ,10,3,1,0,0,2,0,0,0,0,0.3,0.3,0.4,0.7
Jacob Turner,CHI-N,10,3,1,0,1,1,0,3,3,0,0.3,0.3,0.7,1.0
Octavio Dotel, ,10,2,0,0,0,0,0,5,0,0,0.2,0.2,0.2,0.4
Daisuke Matsuzaka, ,10,1,0,0,0,1,2,2,1,0,0.1,0.25,0.1,0.35
Sergio Romo,SF,10,1,0,0,0,0,0,8,0,0,0.1,0.1,0.1,0.2
Vicente Padilla, ,9,5,0,1,1,5,0,0,0,0,0.556,0.556,1.111,1.667
Ricky Nolasco,MIN,9,4,0,0,1,4,0,1,0,0,0.444,0.444,0.778,1.222
James Shields,SD,9,4,0,0,0,0,0,0,0,0,0.444,0.444,0.444,0.889
Kyle Gibson,MIN,9,3,1,0,0,1,0,2,0,0,0.333,0.333,0.444,0.778
Ubaldo Jimenez,BAL,9,3,0,0,0,0,1,2,0,0,0.333,0.4,0.333,0.733
Ian Kennedy,SD,9,3,0,0,0,2,0,2,0,0,0.333,0.333,0.333,0.667
Sam LeCure,CIN,9,3,1,0,0,3,2,2,0,0,0.333,0.455,0.444,0.899
Kevin Millwood, ,9,3,0,0,0,0,1,1,0,0,0.333,0.4,0.333,0.733
Andy Pettitte, ,9,3,0,0,0,0,0,0,0,0,0.333,0.4,0.333,0.733
Jonathan Sanchez, ,9,3,0,0,2,2,1,3,0,0,0.333,0.4,1.0,1.4
Javier Vazquez, ,9,3,0,0,1,2,0,2,1,0,0.333,0.333,0.667,1.0
Ross Detwiler,ATL,9,2,0,0,0,1,1,2,2,0,0.222,0.3,0.222,0.522
Scott Feldman,HOU,9,2,0,0,0,1,0,3,0,0,0.222,0.222,0.222,0.444
David Huff,LA,9,2,1,0,0,1,1,5,0,0,0.222,0.3,0.333,0.633
Mike Mussina, ,9,2,0,0,0,0,0,3,0,0,0.222,0.222,0.222,0.444
Jered Weaver,ANA,9,2,1,0,0,0,2,3,0,0,0.222,0.417,0.333,0.75
Dallas Braden, ,9,1,0,0,0,1,1,3,0,0,0.111,0.2,0.111,0.311
Chris Capuano,NY-A,9,1,1,0,0,0,0,2,0,0,0.111,0.111,0.222,0.333
D.J. Carrasco, ,9,1,0,0,0,0,0,2,0,0,0.111,0.111,0.111,0.222
Felix Hernandez,SEA,9,1,0,0,0,0,0,2,0,0,0.111,0.111,0.111,0.222
Mark Melancon,PIT,9,1,0,0,0,1,0,3,0,0,0.111,0.1,0.111,0.211
Patrick Corbin,AZ,9,0,0,0,0,0,0,4,0,0,0.0,0.0,0.0,0.0
David Price,TOR,9,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0
