Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Clay Buchholz,Bos,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0
John Lackey,Bos,3,5,1,2,1,0,0,0,0,0,0,1,0.4,0.4,0.6,1.0
Kevin Youkilis,Bos,102,362,77,111,26,5,19,62,4,1,58,67,0.307,0.411,0.564,0.975
Adrian Beltre,Bos,154,589,84,189,49,2,28,102,2,1,40,82,0.321,0.365,0.553,0.919
David Ortiz,Bos,145,518,86,140,36,1,32,102,0,1,82,145,0.27,0.37,0.529,0.899
Jed Lowrie,Bos,55,171,31,49,14,0,9,24,1,1,25,25,0.287,0.381,0.526,0.907
Daisuke Matsuzaka,Bos,2,4,0,2,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1.0
Dustin Pedroia,Bos,75,302,53,87,24,1,12,41,9,1,37,38,0.288,0.367,0.493,0.86
Victor Martinez,Bos,127,493,64,149,32,1,20,79,1,0,40,52,0.302,0.351,0.493,0.844
Jason Varitek,Bos,39,112,18,26,6,0,7,16,0,0,10,35,0.232,0.293,0.473,0.766
Felipe Lopez,Bos,4,15,2,4,0,0,1,1,0,0,1,4,0.267,0.313,0.467,0.779
Bill Hall,Bos,119,344,44,85,16,1,18,46,9,1,34,104,0.247,0.316,0.456,0.772
J.D. Drew,Bos,139,478,69,122,24,2,22,68,3,1,60,105,0.255,0.341,0.452,0.793
Darnell McDonald,Bos,117,319,40,86,18,3,9,34,9,1,30,85,0.27,0.336,0.429,0.766
Jonathan Van Every,Bos,21,19,6,4,1,0,1,1,0,0,2,9,0.211,0.286,0.421,0.707
Ryan Kalish,Bos,53,163,26,41,11,1,4,24,10,1,12,38,0.252,0.305,0.405,0.71
Eric Patterson,Bos,46,84,10,19,3,3,2,7,1,1,7,31,0.226,0.293,0.405,0.698
Mike Cameron,Bos,48,162,24,42,11,0,4,15,0,1,14,44,0.259,0.328,0.401,0.729
Marco Scutaro,Bos,150,632,92,174,38,0,11,56,5,4,53,71,0.275,0.333,0.388,0.721
Mike Lowell,Bos,73,218,23,52,13,0,5,26,0,0,23,34,0.239,0.307,0.367,0.674
Daniel Nava,Bos,60,161,23,39,14,1,1,26,1,1,19,46,0.242,0.351,0.36,0.711
Jeremy Hermida,Bos,52,158,14,32,8,0,5,27,1,0,12,45,0.203,0.257,0.348,0.605
Dusty Brown,Bos,7,12,0,3,1,0,0,2,0,0,0,2,0.25,0.25,0.333,0.583
Josh Reddick,Bos,29,62,5,12,3,1,1,5,1,0,1,15,0.194,0.206,0.323,0.529
Jarrod Saltalamacchia,Bos,10,19,2,3,3,0,0,1,0,0,6,4,0.158,0.36,0.316,0.676
