TS%,TOV%,GmSc,ORtg,ORB%
.568,53.2,0.4,73,11.7
.333,0.0,2.1,99,0.0
.000,0.0,0.3,49,0.0
 , ,0.9, ,0.0
.202,28.8,-3.5,45,25.5
.000,0.0,-1.4,0,0.0
.381,0.0,1.8,89,0.0
.000,0.0,1.0,50,0.0
.500,33.3,0.4,76,0.0
.500,0.0,3.1,139,31.9
.174,25.8,-0.4,54,64.0
.000,0.0,-0.1,0,0.0
.714,12.5,9.2,112,0.0
.000,0.0,0.3,50,0.0
.333,0.0,1.0,102,38.1
.500,25.0,4.1,92,20.0
.676,10.1,6.9,130,6.7
.000,0.0,0.0,64,50.5
.387,20.5,1.5,87,23.5
.654,0.0,9.8,136,0.0
.400,0.0,4.8,116,11.0
.694,25.8,3.8,108,0.0
.000,0.0,-0.4,0,0.0
.250,0.0,3.5,74,0.0
.500,0.0,1.0,99,0.0
.500,14.3,5.6,96,12.1
.333,25.0,-0.6,63,0.0
.500,0.0,3.0,123,16.7
.563,0.0,7.4,136,12.9
.000,33.3,0.3,17,6.0
.500,33.3,-0.5,77,25.0
.500,0.0,0.9,110,0.0
 ,100.0,-1.1,17,19.0
.500,0.0,0.5,105,0.0
1.087,26.6,5.5,160,0.0
.375,0.0,3.8,100,14.3
.311,0.0,0.9,79,10.4
