Loc #,Frequency,Emission,Class,Units,Pag,Pwr,Lat,Long,City,County,State
1,460.275,20K0F3E,MO,40,0,100.0, , , , , 
1,460.275,11K2F3E,MO,40,0,100.0, , , , , 
1,465.275,11K2F3E,MO,40,0,100.0, , , , , 
1,465.275,20K0F3E,MO,40,0,100.0, , , , , 
1,465.4,11K2F3E,MO,40,0,100.0, , , , , 
1,465.4,20K0F3E,MO,40,0,100.0, , , , , 
2,155.37,20K0F3E,FB,1,0,100.0,36.21536,-83.30906,MORRISTOWN,HAMBLEN,TN
2,155.37,11K2F3E,FB,1,0,100.0,36.21536,-83.30906,MORRISTOWN,HAMBLEN,TN
2,460.275,11K2F3E,FB2,1,0,100.0,36.21536,-83.30906,MORRISTOWN,HAMBLEN,TN
2,460.275,20K0F3E,FB2,1,0,100.0,36.21536,-83.30906,MORRISTOWN,HAMBLEN,TN
2,460.4,11K2F3E,FB2,1,0,100.0,36.21536,-83.30906,MORRISTOWN,HAMBLEN,TN
2,460.4,20K0F3E,FB2,1,0,100.0,36.21536,-83.30906,MORRISTOWN,HAMBLEN,TN
