LG,TEAM,#,SLG,GS,PPF
NL,CIN,51.0,0.336,0,102
NL,SLN,29.0,0.371,31,101
AL,TOR,171.0,0.422,34,101
AL,NYA,94.0,0.348,20,101
AL,TOR,137.0,0.461,20,102
NL,ATL,16.0,0.382,32,100
NL,ATL,8.0,0.431,26,101
NL,NYN,20.0,0.414,9,96
AL,CHA,149.0,0.354,30,99
NL,LAN,38.0,0.361,30,98
AL,DET,119.0,0.381,32,101
NL,PHI,11.0,0.427,18,106
NL,ARI,87.0,0.404,25,104
AL,NYA,93.0,0.492,29,100
AL,BAL,161.0,0.378,15,99
NL,SDN,60.0,0.452,27,99
AL,SEA,180.0,0.371,33,94
NL,SDN,7.0,0.326,16,99
AL,OAK,126.0,0.437,26,94
NL,PHI,67.0,0.404,33,105
AL,CHA,118.0,0.519,20,99
NL,SDN,18.0,0.351,26,100
AL,TEX,96.0,0.436,13,100
AL,CHA,107.0,0.395,33,99
NL,MIL,33.0,0.395,31,106
AL,MIN,178.0,0.462,31,100
AL,CLE,92.0,0.312,29,97
AL,TOR,156.0,0.488,16,102
AL,CLE,167.0,0.367,32,97
NL,MIL,40.0,0.384,32,107
AL,NYA,166.0,0.392,32,101
NL,SLN,1.0,0.319,0,102
AL,BAL,110.0,0.44,23,99
AL,CHA,108.0,0.351,0,99
AL,NYA,151.0,0.445,32,100
NL,SFN,80.0,0.491,25,102
AL,TBA,146.0,0.343,27,96
NL,SLN,76.0,0.401,19,102
NL,LAN,27.0,0.45,20,98
NL,COL,24.0,0.367,20,114
AL,CHA,154.0,0.485,22,99
NL,NYN,10.0,0.423,32,98
AL,BAL,179.0,0.466,23,98
AL,TEX,95.0,0.366,18,99
NL,CIN,37.0,0.368,18,104
NL,MIA,14.0,0.298,0,96
AL,HOU,117.0,0.458,22,99
AL,DET,142.0,0.329,32,100
AL,KCA,153.0,0.448,33,100
NL,COL,41.0,0.349,0,114
NL,LAN,77.0,0.366,15,102
AL,CLE,135.0,0.291,0,97
AL,TBA,105.0,0.368,23,94
NL,NYN,22.0,0.398,24,97
AL,TEX,147.0,0.516,17,102
NL,MIL,47.0,0.406,32,106
AL,KCA,103.0,0.455,15,99
AL,HOU,122.0,0.415,21,100
AL,NYA,136.0,0.428,2,100
NL,ARI,5.0,0.346,0,104
NL,ATL,36.0,0.346,11,101
AL,TEX,141.0,0.334,32,101
AL,HOU,143.0,0.451,25,99
AL,ANA,106.0,0.377,17,95
AL,BAL,111.0,0.357,0,100
AL,TEX,148.0,0.427,17,101
NL,ARI,32.0,0.432,22,103
NL,CIN,50.0,0.407,31,102
NL,COL,3.0,0.42,0,112
NL,MIA,88.0,0.402,20,98
NL,COL,26.0,0.445,31,112
NL,MIL,23.0,0.291,0,106
AL,TEX,112.0,0.31,0,101
NL,NYN,86.0,0.369,17,96
NL,WAS,83.0,0.307,30,103
AL,TEX,113.0,0.407,20,101
NL,LAN,84.0,0.355,28,100
NL,SFN,69.0,0.477,19,99
NL,SFN,34.0,0.336,12,99
NL,ARI,66.0,0.404,33,101
AL,ANA,175.0,0.361,33,97
NL,WAS,31.0,0.375,32,104
AL,BOS,163.0,0.391,27,101
AL,OAK,129.0,0.369,30,94
AL,BOS,132.0,0.435,29,101
NL,ATL,17.0,0.398,30,100
AL,ANA,176.0,0.547,20,97
