Date,TOV%,Rk,GS
2007-03-02,0.0,57,1
2007-03-30,0.0,70,1
2007-02-04,0.0,46,1
2007-01-07,0.0,32,1
2007-02-21,0.0,52,1
2007-01-17,0.0,38,1
2007-04-04,0.0,73,1
2007-01-10,0.0,34,1
2007-03-28,0.0,69,1
2006-11-03,0.0,2,1
2007-02-02,23.1,45,1
2007-01-09,0.0,33,1
2007-03-16,0.0,64,1
2007-03-11,27.3,61,1
2007-01-15,22.5,37,1
2007-02-24,14.5,54,1
2007-01-27,12.7,43,1
2007-02-28,14.3,56,1
2007-03-06,20.5,59,1
2007-02-23,0.0,53,1
2006-12-19,10.0,23,1
2007-01-19,0.0,39,1
2007-01-24,28.6,41,1
2007-01-22,20.0,40,1
2007-04-09,11.1,76,1
2007-03-14,42.9,63,1
2006-12-02,16.7,15,1
2007-01-05,28.7,31,1
2007-01-03,20.0,30,1
2006-12-08,10.0,17,1
2006-12-11,16.7,19,1
2007-01-26,25.0,42,1
2006-11-28,50.0,12,0
2007-04-18,0.0,80,1
2006-11-26,0.0,11,0
2007-03-26,11.1,68,1
2006-12-20,17.7,24,1
2007-04-17,0.0,79,1
2007-02-14,66.7,51,1
2007-04-08,25.0,75,1
2007-04-13,25.0,77,1
2007-01-31,14.5,44,1
2007-04-01,14.5,71,1
2007-03-03,14.5,58,1
2006-11-08,0.0,4,1
2007-01-12,0.0,35,1
2006-11-20, ,10,0
2006-12-22,7.7,25,1
