Date,Opponent,Score,w,l,sv,ip,h,r,er,era,bb,k,hr
Feb 11,at Ferrum College,"L, 11-10",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 17,vs. Keystone,"W, 7-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 17,at Hampden-Sydney,"W, 7-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 18,vs. Stevenson,"L, 7-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 25,at Guilford,"L, 10-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 25,at Guilford,"L, 3-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 28,York (Pa.),"L, 18-8",0,0,0,1.2,3,2,1,5.40,2,4,-
Mar 1,at Washington and Lee,"L, 4-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 6,at Lynchburg,"L, 13-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 13,at Greensboro,"L, 10-9",0,1,0,1.2,2,1,1,5.40,5,1,-
Mar 13,at Greensboro,"L, 9-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 15,at Washington and Lee,"L, 9-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 16,at PSU-Greater Allegheny,"W, 12-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 16,at PSU-Greater Allegheny,"W, 6-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 17,Baptist Bible (Pa.),"W, 12-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 17,Baptist Bible (Pa.),"W, 18-2",0,0,0,3.0,2,0,0,0.00,1,1,-
Mar 21,VU-Lynchburg,"W, 10-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 21,VU-Lynchburg,"W, 12-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 22,vs. East. Mennonite,"W, 17-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 23,at Lynchburg,"L, 6-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 28,at Virginia-Wise,"W, 3-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 28,at Virginia-Wise,"L, 4-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 29,at East. Mennonite,"L, 17-13",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 3,at Bluefield,"L, 13-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 6,at Averett,"L, 8-4",0,0,0,2.2,0,0,0,0.00,2,3,-
Apr 6,at Averett,"L, 9-2",0,0,0,1.0,1,1,1,9.00,2,1,-
Apr 7,at VU-Lynchburg,"W, 13-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 7,at VU-Lynchburg,"W, 14-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 12,Bluefield St.,"W, 16-10",0,0,0,2.0,4,3,3,13.50,3,3,-
Apr 14,Apprentice School,"W, 8-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 14,Apprentice School,"W, 8-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 16,at Washington and Lee,"W, 10-1",0,0,0,3.2,3,1,1,2.45,5,6,-
Apr 19,vs. Bluefield, ,-,-,-,-,-,-,-,-,-,-,-
Apr 19,vs. Bluefield, ,-,-,-,-,-,-,-,-,-,-,-
May 7,vs. Clark State CC,"W, 10-0",0,0,0,0.0,-,-,-,0.00,-,-,-
May 8,vs. Spalding,"L, 4-2",0,1,0,4.2,5,4,0,0.00,1,1,-
May 9,vs. PSU-Beaver,"W, 13-2",0,0,0,0.0,-,-,-,0.00,-,-,-
May 9,vs. Rochester (Mich.),"L, 8-7",0,0,0,0.0,-,-,-,0.00,-,-,-
