SH,R,SF,SLG,GIDP,OBP,H,2B,OPS
3,6,1,.230,3,.234,19,4,.464
0,2,0,.333,2,.250,6,1,.583
0,0,0,2.000,0,1.000,1,1,3.000
0,3,0,.170,3,.250,8,0,.420
0,13,0,.313,2,.358,26,4,.670
1,8,2,.157,3,.228,12,5,.386
0,16,0,.281,2,.311,24,7,.593
0,27,5,.464,4,.362,58,15,.826
2,41,2,.413,10,.397,84,18,.810
0,1,0,.000,0,.250,0,0,.250
1,1,0,.241,1,.273,5,2,.514
0,1,0,.143,0,.240,2,1,.383
3,41,4,.430,8,.319,83,19,.749
0,2,0,.192,2,.167,7,1,.359
2,20,0,.346,3,.284,40,6,.630
0,19,0,.381,5,.281,40,14,.662
2,30,4,.265,4,.287,40,8,.552
0,9,0,.410,0,.341,20,6,.751
0,12,0,.565,0,.377,19,4,.941
1,17,1,.346,3,.272,27,5,.618
0,26,5,.284,6,.329,73,6,.613
0,2,0,.077,0,.143,1,0,.220
0,4,0,.207,0,.294,5,1,.501
0,4,2,.118,0,.308,1,1,.425
1,36,2,.355,8,.366,88,19,.721
0,32,0,.301,9,.281,49,11,.582
2,8,1,.276,3,.231,16,5,.507
0,1,0,.368,0,.435,6,1,.803
