Date,Opponent,Score,Minutes,GA,GAAVg,Saves,Save%,W,L,T,Faced
3/13/13,WILMINGTON COLLEGE,26-6,60:00,6,6.0,5,0.455,1,0,0,0
3/23/13,at Albion College,23-12,60:00,12,9.0,6,0.333,1,0,0,23
3/24/13,at Trine University,17-6,60:00,6,8.0,5,0.455,1,0,0,20
3/30/13,HIRAM COLLEGE,27-1,60:00,1,6.25,3,0.75,1,0,0,7
4/2/13,OHIO WESLEYAN UNIV.,12-16,60:00,16,8.2,9,0.36,0,1,0,29
4/6/13,at Oberlin College,10-17,58:59,17,9.69,5,0.227,0,1,0,28
4/10/13,at Denison,4-20,60:00,20,11.17,7,0.259,0,1,0,33
4/13/13,at College of Wooster,5-20,60:00,20,12.28,5,0.2,0,1,0,34
4/14/13,at North Central,13-17,60:00,17,12.8,12,0.414,0,1,0,34
4/20/13,at Allegheny,4-26,60:00,26,14.12,5,0.161,0,1,0,36
4/27/13,KENYON COLLEGE,8-24,60:00,24,15.02,11,0.314,0,1,0,46
4/29/2013,at Wittenberg Univ.,3-22,60:00,22,15.61,9,0.29,0,1,0,37
Totals, ,152-187,718:59,187,15.61,82,0.305,4,8,0,327
Opponent, , ,718:59,152,15.61,95,0.385,8,4,0,273
