BB,3B,AB,POS,Team,SB,OBP
23,4,403,3B,ARI,2,0.317
47,0,220,1B,CIN,1,0.39
2,0,31,1B,COL,0,0.294
14,0,60,3B,LAD,4,0.373
25,2,432,3B,COL,2,0.328
3,0,51,1B,CIN,0,0.222
2,0,63,1B,COL,0,0.348
7,0,73,3B,SD,1,0.296
1,0,56,3B,PHI,0,0.19
52,1,597,3B,CIN,20,0.336
95,2,595,3B,STL,5,0.375
23,0,582,3B,ATL,6,0.292
2,0,48,1B,CIN,0,0.22
21,1,494,3B,MIL,3,0.33
82,0,494,1B,WSH,3,0.362
0,0,30,1B,CIN,1,0.097
4,1,67,3B,COL,0,0.38
9,1,81,3B,PHI,1,0.3
39,3,588,3B,SF,0,0.324
8,0,193,3B,SF,1,0.281
6,0,35,1B,NYM,0,0.256
1,0,41,1B,WSH,0,0.186
2,0,39,3B,PIT,0,0.22
73,1,524,1B,CHC,5,0.386
