Team,Oppo,Date,Comp,Res,Appear,g,a,sh,sg,fc,fs,yc,rc
West Ham,A - Newcastle,"May 24, 2015",Prem,L 2-0,Started,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
West Ham,H - Everton,"May 16, 2015",Prem,L 1-2,Sub-Off 69 min,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
West Ham,A - Aston Villa,"May 9, 2015",Prem,L 1-0,Sub-On 77 min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
West Ham,H - Burnley,"May 2, 2015",Prem,W 1-0,Substitute,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
West Ham,A - QPR,"Apr 25, 2015",Prem,D 0-0,Sub-On 54 min,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
West Ham,A - Man City,"Apr 19, 2015",Prem,L 2-0,Sub-Off 65 min,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
West Ham,H - Stoke,"Apr 11, 2015",Prem,D 1-1,Sub-On 58 min,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
West Ham,A - Leicester,"Apr 4, 2015",Prem,L 2-1,Sub-On 79 min,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
West Ham,H - Sunderland,"Mar 21, 2015",Prem,W 1-0,Sub-On 45 min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
West Ham,A - Tottenham,"Feb 22, 2015",Prem,D 2-2,Substitute,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
West Ham,A - West Brom,"Feb 14, 2015",FAC,L 4-0,Sub-On 67 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Ham,A - Southampton,"Feb 11, 2015",Prem,D 0-0,Started,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0
West Ham,H - Man Utd,"Feb 8, 2015",Prem,D 1-1,Unused Substitute, , , , , , , , 
West Ham,A - Liverpool,"Jan 31, 2015",Prem,L 2-0,Sub-On 62 min,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
West Ham,A - Bristol City,"Jan 25, 2015",FAC,W 0-1,Unused Substitute, , , , , , , , 
West Ham,H - Hull,"Jan 18, 2015",Prem,W 3-0,Unused Substitute, , , , , , , , 
West Ham,H - Everton,"Jan 13, 2015",FAC,W (9) 2-(8) 2,Sub-On 110 min,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
West Ham,A - Swansea,"Jan 10, 2015",Prem,D 1-1,Unused Substitute, , , , , , , , 
West Ham,A - Everton,"Jan 6, 2015",FAC,D 1-1,Sub-On 59 min,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
West Ham,H - West Brom,"Jan 1, 2015",Prem,D 1-1,Substitute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Ham,H - Arsenal,"Dec 28, 2014",Prem,L 1-2,Unused Substitute, , , , , , , , 
West Ham,A - Chelsea,"Dec 26, 2014",Prem,L 2-0,Unused Substitute, , , , , , , , 
West Ham,H - Leicester,"Dec 20, 2014",Prem,W 2-0,Unused Substitute, , , , , , , , 
West Ham,A - Sunderland,"Dec 13, 2014",Prem,D 1-1,Unused Substitute, , , , , , , , 
West Ham,H - Swansea,"Dec 7, 2014",Prem,W 3-1,Unused Substitute, , , , , , , , 
West Ham,A - West Brom,"Dec 2, 2014",Prem,W 1-2,Sub-On 77 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Ham,H - Newcastle,"Nov 29, 2014",Prem,W 1-0,Unused Substitute, , , , , , , , 
West Ham,A - Everton,"Nov 22, 2014",Prem,L 2-1,Sub-Off 50 min,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
West Ham,H - Aston Villa,"Nov 8, 2014",Prem,D 0-0,Sub-On 74 min,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
West Ham,A - Stoke,"Nov 1, 2014",Prem,D 2-2,Sub-On 45 min,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
West Ham,H - Man City,"Oct 25, 2014",Prem,W 2-1,Substitute,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
West Ham,A - Burnley,"Oct 18, 2014",Prem,W 1-3,Substitute,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0
West Ham,H - QPR,"Oct 5, 2014",Prem,W 2-0,Unused Substitute, , , , , , , , 
West Ham,A - Man Utd,"Sep 27, 2014",Prem,L 2-1,Sub-On 60 min,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
West Ham,H - Liverpool,"Sep 20, 2014",Prem,W 3-1,Unused Substitute, , , , , , , , 
West Ham,A - Hull,"Sep 15, 2014",Prem,D 2-2,Unused Substitute, , , , , , , , 
West Ham,H - Southampton,"Aug 30, 2014",Prem,L 1-3,Sub-Off 78 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Ham,A - C Palace,"Aug 23, 2014",Prem,W 1-3,Sub-Off 67 min,1.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0
West Ham,H - Tottenham,"Aug 16, 2014",Prem,L 0-1,Sub-Off 80 min,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
