Rank,Team Name,Team,GP,W,L,Overall,Pct,GBL,Manager(s),Ballpark,Best OPS,Best WHIP
1,Northwestern State University Demons,Team,27,22,5,41-20,0.815,--,Mitch Gaspard,Brown-Stroud Field,Blake Jones (988),Cory Keener (1.76)
2,Lamar University Cardinals,Team,27,16,11,38-23,0.593,6.0,Jim Gilligan,Vincent-Beck Stadium,"Mike Ambort (1,069)",Scott Meyer (1.83)
3,Texas State University Bobcats,Team,27,15,12,32-26,0.556,7.0, ,Bobcat Field,Kyle Anson (979),Ryan Bennett (1.80)
4,University of Texas-Arlington Mavericks,Team,27,14,13,26-32,0.519,8.0,Jeff Curtis,Clay Gould Ballpark,Boomer Welles (866),Jeremiah Haar (2.07)
5,University of Texas-San Antonio Roadrunners*,Team,27,14,13,27-34,0.519,8.0,Sherman Corbett,Nelson W. Wolff Municipal Stadium,"Ryan Crew (1,004)",Mark Ruffin (1.93)
6,Southeastern Louisiana University Lions,Team,27,13,14,29-31,0.481,9.0,Dan Canevari,Pat Kenelly Diamond at Alumni Field,Randy Roth (931),Chad Catalano (2.22)
7,Sam Houston State University Bearkats,Team,27,13,14,24-29-2,0.481,9.0,Chris Rupp,Holleman Field,"Isa Garcia (1,005)",Brian Martin (1.98)
8,McNeese State University Cowboys,Team,27,12,15,23-31,0.444,10.0,Chad Clement,Cowboy Diamond,Taylor Faul (983),Jason Bleeker (2.30)
9,University of Louisiana-Monroe Indians,Team,27,9,18,26-29,0.333,13.0,Brad Holland,Indian Field,"James Bennett (1,060)",Jared Jennings (1.75)
10,Nicholls State University Colonels,Team,27,7,20,22-31,0.259,15.0,B.D. Parker,Ray Didier Field,"Anthony Hatch (1,102)",Justin Breaux (2.08)
