PF,SPG,#,APG,MPG,3P%,FG%,ORB,FTM,3PA
3.3,1.0,11,2.1,27.4,0.357,0.548,2.2,3.2,1.6
3.0,1.5,67,5.2,28.8,0.278,0.343,0.5,0.2,4.5
1.6,0.8,21,1.8,28.4,0.485,0.446,1.1,4.2,4.1
3.2,2.1,42,3.9,27.4,0.262,0.345,0.1,1.8,4.7
2.2,2.3,1,1.7,35.4,0.4,0.504,1.1,7.0,4.4
1.1,1.1,32,1.8,27.3,0.229,0.409,0.8,1.3,3.9
1.5,0.2,70,2.9,22.5,0.385,0.489,0.5,0.4,3.2
2.1,2.1,46,0.7,22.2,0.321,0.439,1.1,2.4,3.1
2.8,1.8,47,2.1,23.3,0.083,0.481,0.9,3.1,1.3
1.8,0.4,81,0.2,15.2,0.667,0.657,1.8,1.0,0.3
3.0,0.8,4,1.3,32.0,0.4,0.451,3.6,3.8,2.2
2.0,2.6,6,5.4,36.8,0.239,0.407,1.3,3.9,5.1
2.7,2.2,57,1.7,23.0,0.292,0.329,0.6,1.7,2.7
2.8,0.7,90,0.3,17.7,0.258,0.392,1.6,0.7,3.4
1.5,0.8,83,1.2,19.2,0.538,0.6,0.8,0.2,2.2
2.6,1.0,25,0.6,28.4,0.0,0.494,2.6,1.2,0.1
1.7,1.5,34,2.2,23.8,0.474,0.468,1.2,1.7,3.2
2.3,1.2,36,0.9,26.1,0.0,0.551,0.9,1.9,0.0
2.9,0.9,99,0.0,27.0,0.167,0.37,1.3,1.6,2.0
2.0,0.7,71,0.7,16.7,0.714,0.667,0.3,0.0,2.3
2.2,0.8,49,1.7,22.8,0.234,0.302,0.1,1.7,5.2
2.5,0.8,93,0.6,24.5,0.25,0.516,2.1,1.8,0.5
2.6,1.3,84,1.0,23.0,0.238,0.344,1.0,1.1,2.3
1.6,0.6,27,1.1,28.9,0.229,0.442,0.9,1.2,4.4
1.8,3.1,24,5.9,31.6,0.25,0.366,0.9,3.7,4.4
3.0,0.6,59,0.2,21.1,0.345,0.413,0.9,1.1,3.2
1.6,0.5,94,0.9,15.9,0.3,0.277,0.2,1.5,3.8
3.2,0.6,35,0.8,27.4,0.5,0.515,1.3,0.6,4.2
1.7,1.0,40,1.2,31.4,0.395,0.41,1.7,1.3,4.2
2.2,0.4,100,0.0,18.2,0.333,0.545,1.2,0.6,0.6
2.5,2.1,10,2.6,35.2,0.4,0.383,1.1,2.8,6.2
2.6,0.2,29,0.8,27.7,0.0,0.582,2.6,3.0,0.0
1.7,0.6,41,1.6,29.7,0.353,0.378,1.0,2.0,3.8
1.9,1.1,18,3.7,31.6,0.278,0.407,0.6,3.9,4.0
2.4,1.0,91,0.2,15.8,0.333,0.327,1.1,0.5,4.5
2.4,1.0,20,1.1,28.4,0.435,0.424,1.4,1.4,5.8
1.8,0.8,79,3.0,26.6,0.316,0.39,0.5,1.6,2.4
1.9,1.8,52,0.8,19.6,0.209,0.293,0.8,1.5,5.4
2.9,0.6,92,0.9,17.9,0.0,0.451,1.6,0.1,0.0
2.4,0.2,33,0.2,21.8,0.5,0.463,1.2,1.0,4.0
2.1,1.1,28,0.9,22.2,0.4,0.493,0.4,2.8,3.9
1.9,0.9,65,0.9,23.4,0.357,0.4,1.8,0.8,3.1
2.1,0.4,19,0.6,28.8,0.0,0.588,3.3,2.6,0.1
3.0,0.4,60,1.4,26.3,0.25,0.342,1.7,1.7,2.2
1.2,0.2,74,0.6,16.7,0.25,0.414,1.0,0.4,3.1
2.1,0.4,72,0.1,16.5,0.182,0.528,2.0,1.9,1.4
1.8,0.5,50,1.1,25.9,0.308,0.314,0.5,0.9,6.5
2.4,0.7,82,0.4,23.8,0.611,0.5,1.0,0.7,2.0
3.4,1.3,30,3.6,21.7,0.138,0.507,0.2,2.2,3.2
1.8,0.9,56,0.9,17.8,0.0,0.556,1.8,1.8,0.5
2.9,0.9,43,1.4,25.8,0.231,0.41,2.2,1.6,2.9
