Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Jonathan Van Every,Paw,119,380,84,100,15,3,26,70,6,1,54,157,0.263,0.36,0.524,0.884
Jeff Bailey,Paw,109,418,88,126,28,3,25,75,5,2,62,90,0.301,0.405,0.562,0.967
Chris Carter,Paw,121,470,65,141,25,2,24,81,0,0,41,84,0.3,0.356,0.515,0.871
Josh Reddick,3 Teams,124,482,89,150,19,12,23,91,14,3,34,82,0.311,0.356,0.544,0.899
Jon Still,Lan,122,456,82,121,30,3,22,83,0,0,65,111,0.265,0.363,0.489,0.852
George Kottaras,Paw,107,395,63,96,18,0,22,65,0,0,64,110,0.243,0.348,0.456,0.804
Luis Exposito,LanGre,104,417,65,122,21,3,21,68,1,2,21,89,0.293,0.33,0.508,0.838
Jason Place,Lan,114,484,88,119,25,4,19,65,5,5,44,147,0.246,0.32,0.432,0.752
Lars Anderson,PorLan,118,439,85,139,32,1,18,80,1,0,75,107,0.317,0.417,0.517,0.934
Jered Stanley,PorGre,85,308,42,80,16,2,18,57,3,0,31,108,0.26,0.344,0.5,0.844
Jeff Corsaletti,PawPor,122,446,83,127,31,6,14,63,8,2,71,93,0.285,0.385,0.475,0.861
Mickey Hall,PorLan,94,300,56,69,17,2,14,37,7,1,45,111,0.23,0.335,0.44,0.775
Sandy Madera,PawPor,79,285,40,83,17,1,13,54,1,0,26,44,0.291,0.356,0.495,0.851
Bubba Bell,Por,79,312,50,89,15,3,13,49,3,1,39,61,0.285,0.363,0.478,0.841
Michael Jones,LanGre,130,509,72,154,32,2,13,80,2,0,50,101,0.303,0.367,0.45,0.817
Dusty Brown,Paw,84,297,39,86,14,2,12,55,0,0,40,81,0.29,0.377,0.471,0.849
Luis Sumoza,Low,51,193,31,58,15,0,11,38,9,6,21,59,0.301,0.366,0.549,0.915
Joe Thurston,Paw,126,507,84,160,28,5,11,64,19,11,35,75,0.316,0.367,0.456,0.823
Yamaico Navarro,LanGre,125,506,79,154,27,6,11,77,6,4,41,103,0.304,0.359,0.447,0.806
Aaron Bates,Por,124,457,61,126,29,2,11,68,0,0,50,114,0.276,0.366,0.42,0.786
Daniel Nava,Lan,85,323,54,110,27,1,10,59,4,3,43,70,0.341,0.424,0.523,0.948
David Marks,Gre,81,273,42,62,18,2,10,35,2,3,42,102,0.227,0.335,0.418,0.753
Zak Farkes,Lan,88,319,47,80,20,2,10,48,4,1,28,72,0.251,0.32,0.42,0.74
Gil Velazquez,Paw,101,350,54,91,17,4,10,46,3,3,22,73,0.26,0.31,0.417,0.727
Reid Engel,Lan,77,306,41,76,10,2,10,40,2,1,18,78,0.248,0.297,0.392,0.689
