oppRPA+,oppOBP,AGE,PA,PPF,AVG,VORP,#,TEAM,LG
96,0.312,24,175,108,0.187,0.6,510.0,TEX,AL
98,0.318,42,32,104,0.2,2.3,270.0,NYA,AL
96,0.307,32,158,103,0.376,-5.3,480.0,WAS,NL
96,0.316,28,141,106,0.274,-1.0,500.0,MIN,AL
105,0.321,21,109,90,0.26,6.5,141.0,SEA,AL
105,0.325,25,107,98,0.213,-1.6,99.0,PHI,NL
99,0.315,28,876,105,0.273,12.9,717.0,BOS,AL
98,0.315,30,277,97,0.247,4.6,389.0,NYN,NL
106,0.325,25,20,94,0.278,-0.3,262.0,NYN,NL
97,0.315,25,86,97,0.23,0.8,118.0,SLN,NL
102,0.32,26,50,92,0.205,0.2,70.0,SDN,NL
101,0.321,23,783,105,0.31,13.8,684.0,DET,AL
98,0.312,33,207,97,0.275,4.4,527.0,ATL,NL
112,0.316,22,27,91,0.261,0.9,140.0,ANA,AL
104,0.321,25,260,103,0.231,7.0,148.0,KCA,AL
101,0.316,31,83,91,0.239,0.6,7.0,LAN,NL
94,0.314,22,23,102,0.353,-1.7,431.0,MIA,NL
104,0.325,25,151,106,0.182,3.1,267.0,TEX,AL
96,0.313,27,57,100,0.358,2.1,68.0,SFN,NL
109,0.326,29,131,109,0.23,7.8,116.0,MIL,NL
100,0.319,23,238,107,0.266,7.3,137.0,CHA,AL
96,0.302,26,8,109,0.286,18.7,207.0,BAL,AL
104,0.322,28,83,99,0.206,3.8,14.0,HOU,NL
102,0.319,29,419,96,0.236,9.2,572.0,OAK,AL
95,0.306,25,515,98,0.289,21.1,610.0,SLN,NL
102,0.319,24,709,105,0.259,13.6,659.0,BOS,AL
105,0.317,21,177,101,0.297,4.1,502.0,TEX,AL
97,0.31,26,874,99,0.256,20.5,705.0,CIN,NL
100,0.32,34,293,105,0.229,8.8,282.0,DET,AL
127,0.349,32,5,112,0.25,-1.5,313.0,TOR,AL
101,0.32,30,194,106,0.171,8.5,350.0,CHA,AL
107,0.324,25,342,93,0.327,-0.7,560.0,OAK,AL
119,0.339,26,29,91,0.263,-3.2,334.0,ANA,AL
103,0.319,30,123,90,0.243,4.8,295.0,SEA,AL
96,0.314,23,65,109,0.367,3.0,445.0,TEX,AL
107,0.324,35,300,103,0.276,7.3,547.0,TEX,AL
99,0.334,30,12,140,0.4,0.0,47.0,SFN,NL
97,0.312,32,37,98,0.194,0.1,257.0,NYN,NL
98,0.314,31,833,102,0.238,32.5,647.0,NYA,AL
78,0.292,22,22,97,0.2,1.1,197.0,CIN,NL
97,0.311,24,590,102,0.296,14.1,628.0,PHI,NL
103,0.32,27,906,99,0.269,0.7,720.0,CLE,AL
94,0.307,29,233,94,0.304,1.5,525.0,SDN,NL
102,0.32,26,121,102,0.266,1.5,164.0,ARI,NL
105,0.329,29,67,103,0.214,-0.9,245.0,CHN,NL
101,0.318,24,395,100,0.273,-5.6,590.0,CLE,AL
101,0.322,31,284,98,0.216,12.5,388.0,PHI,NL
94,0.307,30,283,97,0.241,1.9,537.0,ATL,NL
97,0.313,25,20,94,0.125,0.8,13.0,PIT,NL
95,0.307,22,401,99,0.256,8.9,592.0,ATL,NL
94,0.307,26,822,101,0.206,37.0,690.0,WAS,NL
105,0.323,26,172,105,0.227,10.7,33.0,BOS,AL
100,0.315,34,257,100,0.231,-2.3,54.0,ATL,NL
104,0.322,23,638,93,0.279,-0.1,639.0,SEA,AL
100,0.317,29,269,105,0.22,6.8,315.0,BAL,AL
108,0.325,24,336,95,0.236,8.9,571.0,OAK,AL
96,0.309,33,422,120,0.324,-5.6,573.0,COL,NL
100,0.313,26,6,105,0.5,-0.1,61.0,ARI,NL
103,0.317,25,152,106,0.343,2.8,134.0,TEX,AL
107,0.321,24,8,105,0.667,-0.2,138.0,TOR,AL
99,0.315,29,157,105,0.216,-2.9,278.0,BOS,AL
94,0.308,26,375,104,0.264,9.1,540.0,ARI,NL
103,0.321,28,145,106,0.256,-1.9,454.0,BAL,AL
84,0.291,35,18,94,0.353,-2.0,6.0,NYN,NL
78,0.292,27,22,102,0.412,-1.2,422.0,CIN,NL
99,0.32,24,148,102,0.282,0.8,455.0,KCA,AL
99,0.324,27,49,109,0.111,3.6,365.0,CHA,AL
98,0.311,26,83,107,0.209,-7.2,332.0,DET,AL
95,0.305,30,22,89,0.263,-0.0,421.0,SDN,NL
108,0.319,32,15,111,0.357,-0.4,362.0,TOR,AL
80,0.27,29,2,100,0.5,-4.9,199.0,CHN,NL
94,0.308,24,107,94,0.247,2.1,458.0,PIT,NL
97,0.312,22,142,98,0.211,6.5,158.0,ATL,NL
82,0.288,33,16,109,0.308,0.5,331.0,NYA,AL
98,0.31,30,120,99,0.286,-7.4,479.0,HOU,NL
104,0.323,26,58,106,0.157,-3.0,287.0,CHA,AL
99,0.315,30,141,94,0.25,4.7,66.0,SDN,NL
113,0.335,32,37,101,0.353,0.8,333.0,KCA,AL
97,0.31,34,788,92,0.242,17.7,677.0,SFN,NL
101,0.317,27,829,105,0.282,-6.8,699.0,TOR,AL
95,0.307,24,116,98,0.317,-5.5,489.0,CHN,NL
97,0.309,27,4,102,0.5,0.7,79.0,PHI,NL
101,0.317,25,79,99,0.333,-3.6,464.0,HOU,NL
100,0.317,26,72,101,0.302,1.2,17.0,DET,AL
102,0.322,29,270,102,0.302,-4.9,549.0,KCA,AL
99,0.319,28,253,110,0.251,3.9,545.0,CHA,AL
87,0.302,33,48,109,0.386,3.6,94.0,MIL,NL
103,0.324,37,236,119,0.241,12.7,45.0,COL,NL
96,0.31,22,849,95,0.234,20.1,700.0,SFN,NL
102,0.319,26,217,100,0.237,7.8,231.0,CLE,AL
104,0.323,25,253,101,0.297,-2.6,60.0,HOU,NL
102,0.321,29,956,103,0.217,54.4,712.0,DET,AL
98,0.313,24,314,119,0.288,10.0,564.0,COL,NL
103,0.318,25,202,106,0.332,-1.3,530.0,ARI,NL
101,0.316,35,461,101,0.27,6.1,591.0,NYA,AL
100,0.315,25,791,95,0.278,21.4,682.0,OAK,AL
115,0.33,25,34,98,0.515,-3.0,446.0,BOS,AL
94,0.31,27,130,99,0.233,3.0,486.0,SDN,NL
103,0.322,28,434,104,0.235,10.7,570.0,BAL,AL
102,0.321,31,155,103,0.215,3.9,324.0,NYA,AL
96,0.312,29,163,103,0.272,1.4,224.0,ARI,NL
100,0.315,28,82,100,0.222,-0.6,217.0,SLN,NL
94,0.313,25,105,96,0.198,1.8,153.0,SDN,NL
101,0.316,25,138,98,0.26,-0.2,491.0,PHI,NL
90,0.306,29,25,86,0.333,-1.0,95.0,SFN,NL
102,0.322,36,116,96,0.291,-1.2,288.0,OAK,AL
106,0.325,23,4,87,0.0,-0.6,157.0,LAN,NL
101,0.315,27,76,101,0.25,1.9,22.0,ATL,NL
97,0.315,28,263,103,0.285,-3.5,488.0,KCA,AL
92,0.309,24,48,96,0.302,1.2,195.0,SDN,NL
98,0.314,26,520,98,0.208,26.4,552.0,ATL,NL
107,0.323,26,496,104,0.272,9.0,596.0,BAL,AL
96,0.311,37,156,107,0.306,-3.7,184.0,MIL,NL
103,0.322,26,281,100,0.295,3.2,557.0,CLE,AL
101,0.316,24,270,106,0.26,3.4,544.0,BAL,AL
97,0.31,29,457,97,0.275,4.1,599.0,HOU,NL
99,0.313,26,876,103,0.258,15.5,688.0,TEX,AL
103,0.322,31,272,92,0.224,-2.5,82.0,SFN,NL
108,0.326,33,366,103,0.248,8.4,563.0,KCA,AL
80,0.29,34,4,112,0.333,3.3,306.0,CHA,AL
101,0.319,24,318,96,0.28,-0.4,522.0,ANA,AL
102,0.321,22,285,97,0.279,1.2,553.0,MIA,NL
96,0.31,29,262,96,0.259,3.7,373.0,TBA,AL
109,0.324,25,11,111,0.2,-0.1,297.0,BOS,AL
98,0.316,26,53,108,0.133,3.9,208.0,DET,AL
86,0.298,29,22,98,0.35,-2.2,211.0,TBA,AL
100,0.317,29,5,105,0.4,0.4,238.0,ARI,NL
107,0.308,25,14,81,0.3,-1.0,360.0,ANA,AL
106,0.327,28,97,98,0.215,2.9,76.0,SLN,NL
99,0.313,24,457,98,0.271,1.9,582.0,SLN,NL
105,0.324,37,173,96,0.242,3.1,309.0,ANA,AL
99,0.314,31,77,95,0.147,0.6,310.0,OAK,AL
111,0.319,22,10,102,0.0,-0.8,216.0,TEX,AL
103,0.32,28,805,100,0.273,7.0,678.0,CLE,AL
100,0.321,31,882,107,0.234,24.7,687.0,CHA,AL
102,0.319,28,148,88,0.177,-4.7,308.0,SEA,AL
97,0.316,37,39,96,0.294,-0.8,228.0,PIT,NL
99,0.313,35,835,101,0.267,18.2,686.0,CIN,NL
100,0.318,23,568,106,0.275,10.2,626.0,CHA,AL
96,0.313,26,888,101,0.252,24.1,706.0,CIN,NL
100,0.317,32,427,105,0.245,19.4,579.0,TEX,AL
111,0.33,41,24,101,0.227,-0.4,147.0,ATL,NL
111,0.333,35,42,105,0.267,-3.4,146.0,CHN,NL
94,0.305,26,165,111,0.243,8.0,512.0,MIL,NL
97,0.313,24,7,108,0.167,0.2,12.0,MIN,AL
97,0.312,24,839,103,0.25,4.6,689.0,ARI,NL
96,0.312,28,798,95,0.252,18.9,685.0,MIA,NL
103,0.323,36,104,93,0.178,3.4,167.0,MIA,NL
97,0.31,27,83,95,0.235,-0.5,77.0,TBA,AL
108,0.326,29,84,100,0.213,-1.1,67.0,ARI,NL
93,0.308,31,185,98,0.305,-0.9,64.0,SLN,NL
98,0.314,26,143,102,0.341,2.3,34.0,HOU,NL
108,0.313,26,20,86,0.368,-2.0,18.0,ANA,AL
100,0.316,24,102,96,0.296,0.6,89.0,NYN,NL
95,0.305,33,317,94,0.246,4.1,554.0,PIT,NL
100,0.316,27,249,125,0.291,2.8,198.0,COL,NL
102,0.321,22,295,102,0.216,10.0,2.0,KCA,AL
94,0.31,25,319,102,0.171,10.1,561.0,ATL,NL
98,0.315,25,24,105,0.333,-0.7,176.0,NYA,AL
110,0.331,29,286,93,0.187,2.9,114.0,LAN,NL
82,0.299,27,18,91,0.167,2.4,420.0,ANA,AL
78,0.286,26,9,98,0.429,-0.1,154.0,SLN,NL
65,0.265,19,6,109,0.2,-0.2,142.0,BAL,AL
109,0.326,26,89,94,0.216,-1.8,354.0,OAK,AL
106,0.325,29,256,100,0.232,14.1,236.0,CIN,NL
101,0.319,27,239,103,0.234,7.1,416.0,NYA,AL
102,0.321,26,39,109,0.412,-1.7,180.0,DET,AL
100,0.315,28,278,100,0.213,3.8,232.0,CLE,AL
101,0.317,26,836,98,0.226,29.2,675.0,TBA,AL
94,0.311,24,123,100,0.16,4.5,378.0,CIN,NL
104,0.322,23,121,101,0.252,3.8,504.0,KCA,AL
99,0.315,27,899,102,0.266,23.0,704.0,ARI,NL
100,0.314,28,231,121,0.321,4.4,459.0,COL,NL
104,0.32,24,117,104,0.232,7.2,230.0,TOR,AL
101,0.319,25,197,93,0.241,-1.3,81.0,LAN,NL
103,0.322,27,286,99,0.207,9.6,30.0,CLE,AL
100,0.317,27,277,107,0.271,-5.5,536.0,BOS,AL
128,0.353,34,2,103,0.0,4.7,303.0,NYA,AL
101,0.317,27,66,97,0.288,-2.0,251.0,MIA,NL
101,0.315,22,241,93,0.289,-0.1,535.0,LAN,NL
97,0.311,41,220,97,0.29,-3.9,482.0,NYN,NL
99,0.318,29,129,96,0.217,-1.7,105.0,SDN,NL
114,0.329,35,10,105,0.667,-2.6,327.0,SEA,AL
102,0.319,26,325,102,0.224,7.8,521.0,BOS,AL
97,0.311,24,901,91,0.21,33.2,716.0,LAN,NL
99,0.316,26,815,104,0.259,19.5,691.0,NYA,AL
107,0.329,27,208,95,0.283,4.2,221.0,MIA,NL
99,0.317,29,57,98,0.261,1.7,24.0,HOU,NL
91,0.301,49,254,119,0.328,4.0,533.0,COL,NL
102,0.328,30,28,98,0.259,-1.0,187.0,SFN,NL
103,0.32,27,194,104,0.256,-2.6,205.0,BOS,AL
100,0.319,31,300,109,0.239,9.5,381.0,MIL,NL
102,0.319,31,134,99,0.285,-0.6,418.0,HOU,NL
100,0.316,30,242,107,0.195,11.7,275.0,TOR,AL
97,0.318,28,90,109,0.247,3.4,371.0,CHA,AL
105,0.323,27,230,100,0.229,3.5,186.0,ATL,NL
98,0.317,29,49,102,0.356,1.2,318.0,ANA,AL
106,0.326,25,31,106,0.222,0.7,353.0,BOS,AL
99,0.315,25,212,94,0.2,5.8,386.0,OAK,AL
97,0.313,26,217,103,0.219,-1.4,382.0,KCA,AL
104,0.32,27,173,105,0.212,-2.6,215.0,BOS,AL
101,0.317,27,185,119,0.29,1.7,509.0,COL,NL
98,0.313,31,246,96,0.291,2.9,532.0,LAN,NL
97,0.312,31,138,109,0.238,0.9,294.0,CHA,AL
93,0.309,26,108,100,0.274,-1.3,51.0,PHI,NL
103,0.319,30,236,106,0.278,-8.7,307.0,MIN,AL
98,0.312,26,80,98,0.233,1.9,120.0,ATL,NL
99,0.32,26,133,93,0.231,-0.1,387.0,LAN,NL
90,0.304,30,41,100,0.294,-1.5,452.0,MIL,NL
100,0.316,26,95,105,0.302,3.5,84.0,NYA,AL
104,0.325,26,182,92,0.174,5.4,260.0,SEA,AL
78,0.276,24,3,102,0.0,0.3,222.0,CIN,NL
104,0.32,28,190,93,0.256,6.0,59.0,SEA,AL
103,0.319,32,83,106,0.236,3.1,344.0,BOS,AL
124,0.356,29,6,100,0.8,-3.0,115.0,CHN,NL
101,0.318,29,203,96,0.223,-1.0,329.0,TBA,AL
91,0.303,36,34,96,0.32,-0.4,19.0,CHN,NL
89,0.299,29,45,87,0.333,1.0,443.0,SFN,NL
101,0.318,37,891,102,0.249,19.5,703.0,NYA,AL
95,0.308,24,757,99,0.287,13.5,663.0,CIN,NL
99,0.314,29,162,106,0.24,1.6,404.0,TEX,AL
96,0.309,32,383,93,0.249,10.6,565.0,SDN,NL
106,0.321,33,411,101,0.304,-4.6,600.0,BOS,AL
103,0.321,32,234,92,0.258,-1.3,108.0,SFN,NL
91,0.307,33,21,96,0.167,-1.1,174.0,ATL,NL
94,0.309,29,171,103,0.286,1.8,405.0,NYA,AL
104,0.317,23,65,98,0.189,2.2,11.0,PHI,NL
103,0.321,26,289,102,0.234,21.5,159.0,KCA,AL
103,0.324,28,709,103,0.278,7.1,638.0,KCA,AL
95,0.31,30,527,104,0.245,11.3,617.0,MIL,NL
101,0.314,22,89,96,0.175,4.0,191.0,SLN,NL
97,0.311,23,434,120,0.261,12.8,625.0,COL,NL
88,0.297,27,31,96,0.37,-1.5,75.0,CHN,NL
104,0.318,35,282,94,0.167,17.2,273.0,TBA,AL
103,0.32,25,453,89,0.266,-10.3,602.0,SEA,AL
96,0.298,26,20,87,0.412,0.1,214.0,OAK,AL
107,0.325,28,52,104,0.347,-0.1,417.0,MIN,AL
103,0.32,33,136,91,0.209,2.0,314.0,SEA,AL
98,0.319,33,35,115,0.231,-1.6,239.0,MIL,NL
103,0.325,23,57,96,0.26,-1.4,177.0,NYN,NL
107,0.323,26,939,87,0.241,35.8,718.0,SEA,AL
102,0.323,26,94,108,0.318,-0.2,408.0,MIN,AL
112,0.328,29,33,106,0.393,-1.4,328.0,TOR,AL
95,0.308,23,70,96,0.204,-2.7,364.0,SLN,NL
92,0.31,35,169,100,0.283,-3.1,516.0,SDN,NL
101,0.316,34,61,99,0.327,-4.5,269.0,CLE,AL
93,0.305,28,25,109,0.476,0.6,414.0,BOS,AL
115,0.332,29,24,109,0.227,2.8,347.0,BOS,AL
101,0.321,24,173,104,0.278,-8.8,53.0,CHN,NL
95,0.309,21,77,103,0.23,-1.4,470.0,ARI,NL
106,0.325,27,262,98,0.27,5.1,173.0,ATL,NL
97,0.31,29,105,101,0.24,1.9,495.0,HOU,NL
104,0.324,28,144,94,0.13,6.9,370.0,SDN,NL
99,0.314,21,170,95,0.208,0.1,515.0,MIA,NL
103,0.321,32,197,97,0.269,4.3,9.0,NYN,NL
106,0.323,22,807,108,0.29,-11.5,670.0,TOR,AL
66,0.268,24,9,115,0.429,-0.4,367.0,COL,NL
102,0.317,34,191,107,0.256,1.5,348.0,TOR,AL
99,0.314,21,628,101,0.279,5.7,637.0,HOU,NL
99,0.316,34,133,92,0.344,-2.2,178.0,SFN,NL
102,0.318,27,94,100,0.23,1.1,396.0,CHN,NL
100,0.32,22,136,98,0.322,0.6,497.0,SDN,NL
105,0.324,27,278,102,0.19,16.5,248.0,ARI,NL
99,0.313,24,55,109,0.412,-0.7,461.0,DET,AL
103,0.327,32,183,96,0.257,2.7,513.0,LAN,NL
101,0.318,32,547,104,0.266,4.9,621.0,BOS,AL
112,0.334,24,116,100,0.21,6.7,160.0,WAS,NL
97,0.313,24,136,106,0.26,0.3,469.0,TOR,AL
100,0.319,27,238,103,0.273,-0.4,526.0,CHA,AL
102,0.317,29,263,104,0.202,12.2,200.0,BAL,AL
104,0.321,37,689,93,0.271,6.7,649.0,SEA,AL
88,0.313,27,13,103,0.417,-0.4,391.0,ANA,AL
96,0.309,39,98,106,0.261,2.4,285.0,NYA,AL
100,0.312,28,126,105,0.213,7.2,265.0,TOR,AL
101,0.319,30,279,98,0.191,6.5,240.0,SLN,NL
102,0.318,34,320,105,0.272,9.9,266.0,BAL,AL
