Row,Organism,Tax Group,NCBI Project ID,Replicons,Total Size (bp),% AT,% Global Direct Repeats,% Global Inverted Repeats,% Local Direct Repeats,% Local Inverted Repeats,% Local Mirror Repeats,% Local Everted Repeats,% Simple Repeats
 , , , , , , , , , , , , , 
1.0,Prochlorococcus marinus str. MIT 9515,BCyano PP,13617.0,1.0,"1,704,176",69.2,0.7,0.2,11.3,8.8,10.2,7.7,0.5
2.0,Prochlorococcus marinus subsp. pastoris str. CCMP1986,BCyano PP,213.0,1.0,"1,657,990",69.2,0.8,0.3,11.5,8.9,10.2,7.8,0.6
3.0,cyanobacterium UCYN-A,BCyano C,30917.0,1.0,"1,443,806",68.9,0.2,1.0,9.9,9.9,8.8,7.8,0.5
4.0,Prochlorococcus marinus str. MIT 9215,BCyano PP,18633.0,1.0,"1,738,790",68.8,1.0,0.3,11.1,8.6,9.9,7.6,0.6
5.0,Prochlorococcus marinus str. MIT 9312,BCyano PP,13910.0,1.0,"1,709,204",68.8,0.9,0.2,10.9,8.5,9.5,7.5,0.6
6.0,Prochlorococcus marinus str. AS9601,BCyano PP,13548.0,1.0,"1,669,886",68.7,1.1,0.2,10.7,8.4,9.6,7.4,0.6
7.0,Prochlorococcus marinus str. MIT 9301,BCyano PP,15746.0,1.0,"1,641,879",68.7,0.5,0.2,10.8,8.3,9.5,7.2,0.5
8.0,Trichodesmium erythraeum IMS101,BCyano OT,318.0,1.0,"7,750,108",65.9,18.4,12.4,9.8,6.4,7.0,4.9,0.8
9.0,Prochlorococcus marinus str. NATL1A,BCyano PP,15660.0,1.0,"1,864,731",65.0,1.8,0.8,7.3,5.6,6.0,4.3,0.3
10.0,Prochlorococcus marinus str. NATL2A,BCyano PP,13911.0,1.0,"1,842,899",64.9,2.7,1.5,7.4,5.5,5.7,4.2,0.4
11.0,Prochlorococcus marinus subsp. marinus str. CCMP1375,BCyano PP,419.0,1.0,"1,751,080",63.6,0.8,0.3,6.0,4.4,4.3,3.3,0.4
12.0,Cyanothece sp. ATCC 51142,BCyano CC,20319.0,6.0,"5,460,377",62.1,4.14,2.23,6.19,3.91,4.75,3.5,0.49
13.0,Prochlorococcus marinus str. MIT 9211,BCyano PP,13551.0,1.0,"1,688,963",62.0,1.2,0.1,5.2,3.9,3.8,2.8,0.3
14.0,'Nostoc azollae' 0708,BCyano NN,30807.0,3.0,"5,486,145",61.6,18.06,17.18,5.7,4.14,3.82,2.92,0.88
15.0,Cyanothece sp. PCC 7424,BCyano CC,20479.0,7.0,"6,554,169",61.5,6.47,5.85,7.26,4.35,4.81,3.56,0.86
16.0,Cyanothece sp. PCC 8801,BCyano CC,20503.0,4.0,"4,787,694",60.2,4.13,3.17,5.82,3.71,4.02,3.01,0.59
17.0,Cyanothece sp. PCC 8802,BCyano CC,28339.0,5.0,"4,803,347",60.2,3.24,3.14,5.87,3.73,3.93,3.01,0.02
18.0,Nostoc sp. PCC 7120,BCyano NN,244.0,7.0,"7,211,789",58.7,5.6,3.08,5.28,4.19,3.1,2.49,0.66
19.0,Nostoc punctiforme PCC 73102,BCyano NN,216.0,6.0,"9,059,191",58.7,7.72,5.39,5.36,4.48,3.11,2.58,0.59
20.0,Anabaena variabilis ATCC 29413,BCyano NN,10642.0,5.0,"7,105,752",58.6,5.36,4.03,5.37,4.34,3.2,2.59,0.66
21.0,Microcystis aeruginosa NIES-843,BCyano CM,27835.0,1.0,"5,842,795",57.7,24.0,20.5,6.7,3.8,4.0,2.6,1.2
22.0,Acaryochloris marina MBIC11017,BCyano A,12997.0,10.0,"8,361,599",53.0,6.64,4.75,3.75,2.7,2.14,1.72,0.23
23.0,Synechocystis sp. PCC 6803,BCyano CS,60.0,5.0,"3,947,019",52.6,4.64,2.59,4.36,1.86,2.6,1.95,0.29
24.0,Synechococcus sp. PCC 7002,BCyano CS,28247.0,7.0,"3,409,935",50.8,0.73,0.82,4.18,1.72,2.47,1.74,0.29
25.0,Prochlorococcus marinus str. MIT 9303,BCyano PP,13496.0,1.0,"2,682,675",50.0,4.1,2.1,4.0,2.7,2.2,1.5,0.3
26.0,Cyanothece sp. PCC 7425,BCyano CC,28337.0,4.0,"5,786,110",49.4,4.19,3.78,4.33,1.55,2.01,1.42,0.29
27.0,Prochlorococcus marinus str. MIT 9313,BCyano PP,220.0,1.0,"2,410,873",49.3,2.8,2.1,3.8,2.7,2.1,1.4,0.3
28.0,Synechococcus sp. CC9311,BCyano CS,12530.0,1.0,"2,606,748",47.5,1.9,1.1,3.7,2.7,2.0,1.5,0.3
29.0,Thermosynechococcus elongatus BP-1,BCyano CT,308.0,1.0,"2,593,857",46.1,5.7,4.6,3.8,1.4,2.0,1.6,0.3
30.0,Synechococcus sp. CC9902,BCyano CS,13655.0,1.0,"2,234,828",45.8,0.7,1.0,3.7,2.9,2.2,1.7,0.3
31.0,Synechococcus elongatus PCC 7942,BCyano CS,10645.0,2.0,"2,742,269",44.6,0.72,0.88,4.18,2.49,2.21,1.9,0.3
32.0,Synechococcus elongatus PCC 6301,BCyano CS,13282.0,1.0,"2,696,255",44.5,0.8,0.9,4.2,2.5,2.2,1.9,0.3
33.0,Synechococcus sp. JA-2-3B'a(2-13),BCyano CS,16252.0,1.0,"3,046,682",41.5,5.3,5.1,5.6,2.2,2.5,1.9,0.5
34.0,Synechococcus sp. CC9605,BCyano CS,13643.0,1.0,"2,510,659",40.8,2.2,1.9,5.6,3.7,2.7,2.2,0.4
35.0,Synechococcus sp. WH 8102,BCyano CS,230.0,1.0,"2,434,428",40.6,3.2,0.8,5.9,3.8,2.8,2.3,0.4
36.0,Synechococcus sp. WH 7803,BCyano CS,13642.0,1.0,"2,366,980",39.8,1.1,1.1,5.3,3.7,2.5,2.1,0.4
37.0,Synechococcus sp. JA-3-3Ab,BCyano CS,16251.0,1.0,"2,932,766",39.8,6.8,6.6,6.4,3.0,3.0,2.3,0.4
38.0,Synechococcus sp. RCC307,BCyano CS,13654.0,1.0,"2,224,914",39.2,0.9,0.5,6.8,4.3,2.5,2.1,0.5
39.0,Gloeobacter violaceus PCC 7421,BCyano GG,9606.0,1.0,"4,659,019",38.0,4.1,2.8,6.7,4.3,4.0,3.4,0.5
