TRB%,Tm,Rk,G,Age,AST%,Date
17.3,BOS,68,68,25-136,5.5,1988-03-30
27.8,BOS,56,56,25-110,0.0,1988-03-04
10.4,BOS,77,77,25-158,0.0,1988-04-21
10.8,BOS,34,34,25-064,0.0,1988-01-18
0.0,BOS,26,26,25-050,0.0,1988-01-04
32.1,BOS,74,74,25-152,0.0,1988-04-15
0.0,BOS,38,38,25-072,0.0,1988-01-26
15.6,BOS,20,20,25-035,18.0,1987-12-20
14.5,BOS,9,9,25-005,9.4,1987-11-20
12.9,BOS,21,21,25-037,0.0,1987-12-22
10.3,BOS,65,65,25-131,12.1,1988-03-25
13.2,BOS,61,61,25-121,0.0,1988-03-15
5.5,BOS,4,4,24-361,10.5,1987-11-11
0.0,BOS,3,3,24-359,0.0,1987-11-09
8.8,BOS,25,25,25-048,0.0,1988-01-02
15.7,BOS,57,57,25-112,14.4,1988-03-06
19.0,BOS,36,36,25-068,0.0,1988-01-22
21.3,BOS,17,17,25-026,0.0,1987-12-11
12.7,BOS,50,50,25-096,4.2,1988-02-19
18.3,BOS,5,5,24-363,25.1,1987-11-13
21.2,BOS,15,15,25-019,0.0,1987-12-04
0.0,BOS,29,29,25-055,0.0,1988-01-09
19.0,BOS,7,7,25-002,16.1,1987-11-17
12.9,BOS,55,55,25-108,0.0,1988-03-02
10.8,BOS,66,66,25-132,0.0,1988-03-26
8.6,BOS,32,32,25-061,3.1,1988-01-15
15.5,BOS,78,78,25-159,6.8,1988-04-22
15.9,BOS,19,19,25-031,0.0,1987-12-16
14.4,BOS,13,13,25-012,0.0,1987-11-27
8.9,BOS,51,51,25-099,0.0,1988-02-22
13.2,BOS,48,48,25-092,0.0,1988-02-15
0.0,BOS,27,27,25-052,0.0,1988-01-06
9.5,BOS,54,54,25-105,4.4,1988-02-28
16.0,BOS,22,22,25-041,25.9,1987-12-26
21.3,BOS,45,45,25-087,0.0,1988-02-10
16.7,BOS,37,37,25-069,0.0,1988-01-23
6.0,BOS,64,64,25-129,0.0,1988-03-23
13.9,BOS,69,69,25-138,0.0,1988-04-01
10.9,BOS,10,10,25-006,0.0,1987-11-21
9.2,BOS,24,24,25-045,10.3,1987-12-30
10.9,BOS,12,12,25-010,0.0,1987-11-25
15.2,BOS,63,63,25-126,0.0,1988-03-20
20.8,BOS,79,79,25-161,5.4,1988-04-24
11.3,BOS,49,49,25-094,0.0,1988-02-17
15.9,BOS,30,30,25-058,0.0,1988-01-12
