Acquired,Tm,G,Rrep,oRAR,Rbaser,oWAR
Amateur Draft,CHW,5,0,0,0,0.0
Free Agency,CLE,53,0,0,0,0.0
Amateur Draft,ANA,161,26,21,-2,2.0
Amateur Draft,DET,124,17,27,-2,2.7
Purchased,BOS,8,1,-2,-0,-0.2
Traded,CHW,35,0,-0,0,-0.0
Amateur Draft,BAL,4,0,0,0,0.0
Amateur Free Agent,TEX,111,18,39,1,3.8
Amateur Draft,TOR,11,0,0,0,0.0
Traded,CHW,17,0,0,0,0.0
Free Agency,TOR,41,5,-4,-1,-0.4
Amateur Draft,MIN,33,0,1,-0,0.1
Free Agency,DET,40,0,0,0,0.0
Traded,OAK,155,25,16,2,1.5
Traded,MIN,35,0,1,-0,0.1
Amateur Free Agent,ANA,96,13,3,-2,0.3
Free Agency,SEA,159,25,45,-0,4.4
Traded,DET,15,0,-0,0,-0.0
Free Agency,TOR,74,7,3,-0,0.3
Amateur Draft,BAL,75,11,2,2,0.2
Free Agency,TEX,28,0,1,-0,0.1
Free Agency,CLE,2,0,0,0,0.0
Amateur Draft,BAL,24,0,-0,0,-0.0
Amateur Free Agent,TEX,40,6,1,1,0.1
Expansion Draft,TBD,20,0,-1,0,-0.1
Traded,BOS,106,14,7,-2,0.7
Free Agency,KCR,53,0,0,0,0.0
Free Agency,SEA,45,4,5,-1,0.5
Free Agency,2TM,12,1,-3,-1,-0.3
Traded,DET,131,21,30,4,3.0
Amateur Draft,TEX,17,0,0,0,0.0
Free Agency,TEX,55,0,0,0,0.0
Free Agency,BAL,131,19,-5,1,-0.5
Amateur Draft,BOS,9,1,-3,-0,-0.3
Traded,TOR,60,4,-6,-0,-0.6
Waivers,TBD,7,0,0,0,0.0
Free Agency,CLE,9,0,0,0,0.0
Free Agency,TEX,162,26,96,5,9.2
Amateur Free Agent,BOS,20,0,0,0,0.0
Free Agency,MIN,56,0,0,0,0.0
Amateur Draft,ANA,57,0,0,0,0.0
Free Agency,SEA,34,0,1,-0,0.1
Amateur Draft,CHW,63,6,11,0,1.0
Amateur Draft,CLE,156,24,66,-1,6.4
Free Agency,TBD,3,0,0,0,0.0
Amateur Free Agent,BAL,23,0,-0,0,-0.0
Traded,CLE,29,0,0,0,0.0
Expansion Draft,TBD,108,14,5,-1,0.5
Amateur Draft,KCR,4,0,-1,-1,-0.1
Traded,TOR,10,0,0,0,0.0
Expansion Draft,TBD,54,0,0,0,0.0
Free Agency,DET,9,0,-0,0,-0.0
Traded,ANA,40,4,-2,-1,-0.2
Free Agency,MIN,24,3,-4,-1,-0.4
Free Agency,2TM,40,4,-1,1,-0.1
Amateur Draft,DET,13,0,0,0,0.0
Amateur Draft,NYY,150,24,70,7,6.7
Purchased,ANA,46,0,0,0,0.0
Free Agency,NYY,120,18,22,0,2.1
Amateur Free Agent,KCR,79,12,-3,0,-0.3
Amateur Draft,KCR,106,15,-7,2,-0.7
Traded,CLE,38,0,0,0,0.0
Free Agency,TOR,62,0,0,0,0.0
Traded,OAK,3,0,0,0,0.0
Traded,CLE,32,0,1,0,0.1
Free Agency,BOS,82,7,-3,-3,-0.3
Free Agency,CLE,6,0,-2,0,-0.2
Traded,DET,90,9,6,-0,0.6
Amateur Draft,KCR,17,0,0,0,0.0
Free Agency,MIN,5,0,0,0,0.0
Free Agency,BOS,128,21,12,2,1.2
Free Agency,DET,13,2,3,-0,0.3
Traded,CHW,74,6,8,-0,0.8
Free Agency,BOS,30,0,0,0,0.0
Amateur Draft,ANA,1,0,0,0,0.0
Free Agency,TOR,43,3,3,0,0.3
Free Agency,TBD,12,0,0,0,0.0
Amateur Draft,BOS,21,3,7,-1,0.6
Free Agency,TOR,48,2,-1,-1,-0.1
Amateur Draft,TBD,111,16,-3,-1,-0.3
Free Agency,BOS,25,0,-0,0,-0.0
Free Agency,ANA,15,2,3,0,0.3
Free Agency,NYY,146,23,60,1,5.9
Amateur Draft,MIN,153,24,48,6,4.7
Amateur Draft,OAK,35,0,-1,0,-0.1
Free Agency,OAK,24,0,0,0,0.0
Free Agency,BOS,5,0,0,0,0.0
Amateur Draft,CHW,13,0,0,0,0.0
Free Agency,NYY,137,21,20,4,2.0
Free Agency,NYY,15,0,0,0,0.0
Free Agency,CLE,157,25,80,6,7.7
Amateur Draft,MIN,149,20,11,-0,1.1
Amateur Draft,TOR,69,0,0,0,0.0
Traded,CHW,46,0,0,0,0.0
Traded,BAL,15,0,0,0,0.0
Free Agency,ANA,79,9,9,0,0.9
Amateur Draft,MIN,7,0,-0,0,-0.0
Amateur Draft,BAL,24,0,0,0,0.0
Amateur Draft,DET,10,1,0,-0,0.0
Amateur Draft,ANA,30,0,2,0,0.2
Traded,BOS,7,0,0,0,0.0
Purchased,NYY,158,23,18,-2,1.7
Amateur Free Agent,OAK,136,19,17,-4,1.6
Purchased,CHW,76,11,8,-2,0.8
Traded,BAL,17,2,3,0,0.3
Free Agency,MIN,39,3,-2,0,-0.2
Free Agency,BOS,23,2,-7,0,-0.7
Amateur Draft,KCR,155,25,61,7,5.9
Traded,TBD,11,0,0,0,0.0
Amateur Draft,ANA,63,0,0,0,0.0
Traded,BAL,64,7,-1,-2,-0.1
Rule 5 Draft,BAL,73,9,7,1,0.7
Traded,TEX,106,16,9,0,0.9
Free Agency,KCR,104,12,13,-1,1.3
Expansion Draft,TBD,128,18,14,-2,1.4
MinorLg Draft,OAK,139,22,26,-1,2.5
Free Agency,TEX,61,5,-7,-1,-0.8
Amateur Draft,OAK,19,2,3,0,0.3
Free Agency,TEX,56,0,1,0,0.1
Amateur Free Agent,MIN,153,23,14,0,1.3
Traded,CHW,22,1,-7,-0,-0.7
Free Agency,BOS,122,18,19,-0,1.9
Traded,TBD,24,4,-3,-0,-0.3
Amateur Draft,OAK,38,3,-5,-0,-0.6
Free Agency,ANA,53,6,-5,-1,-0.5
Traded,BAL,61,0,1,0,0.1
Amateur Free Agent,SEA,132,21,49,-2,4.7
Waivers,MIN,44,0,0,0,0.0
Free Agency,OAK,106,13,-2,-0,-0.2
Traded,BAL,128,19,20,1,2.0
Free Agency,BAL,50,0,0,0,0.0
Traded,CHW,124,19,28,-1,2.7
Traded,SEA,140,20,24,2,2.3
Amateur Draft,CHW,20,0,0,0,0.0
Free Agency,CLE,133,21,18,2,1.8
Traded,BOS,107,16,8,-4,0.8
Traded,TOR,66,5,-5,-1,-0.5
Amateur Draft,TEX,5,0,0,0,0.0
Amateur Draft,BAL,31,4,4,1,0.4
Free Agency,DET,81,10,10,-1,0.9
Free Agency,MIN,65,0,0,0,0.0
