GIDP,Team,OBP,3B,AB,HR,SO
1,CUL,.436,0,46,3,10
7,HER,.345,1,234,3,41
2,NAV,.323,0,56,0,20
3,MAZ,.361,0,33,0,9
0,HER,.000,0,3,0,1
7,HER,.353,0,176,0,14
0,MXC,.300,0,17,0,4
4,GSV,.264,3,112,4,30
2,MOC,.390,0,63,2,16
3,MAZ,.341,0,65,4,13
14,NAV,.302,0,194,2,23
1,CUL,.385,0,224,19,87
0,MOC,.270,0,31,0,10
6,MAZ,.308,1,229,5,35
8,OBR,.430,0,244,17,35
4,GSV,.425,0,244,10,39
3,NAV,.339,0,106,1,26
5,MXC,.354,0,104,7,12
4,NAV,.415,0,265,1,26
1,OBR,.270,0,60,1,15
0,MXC,--,0,0,0,0
2,NAV,.277,0,62,0,13
0,CUL,.270,0,94,5,29
0,MAZ,.392,0,67,1,12
1,MXC,.217,0,22,0,3
4,MOC,.319,0,172,2,44
0,OBR,.273,0,10,0,4
0,MAZ,.244,0,39,0,9
1,HER,.320,0,44,1,14
0,MXC,.374,0,107,2,19
3,NAV,.364,1,155,3,42
6,GSV,.380,1,238,17,60
9,GSV,.365,0,237,3,26
3,MAZ,.262,0,57,3,15
5,MOC,.310,0,156,5,25
2,CUL,.351,0,62,3,13
2,CUL,.416,0,66,4,22
1,MAZ,.313,0,25,0,5
0,NAV,.366,0,69,1,19
0,GSV,.083,0,11,0,2
1,GSV,.286,0,23,1,12
2,MXC,.396,0,84,0,12
0,HER,.333,0,15,0,6
3,HER,.293,0,139,8,41
0,MOC,.000,0,3,0,2
0,MOC,.373,0,71,0,14
5,MOC,.333,0,167,6,30
5,MAZ,.287,2,170,9,48
8,HER,.338,0,265,20,35
6,CUL,.355,2,225,10,57
6,MOC,.305,1,181,4,38
3,MOC,.333,0,166,0,24
0,OBR,.346,0,23,2,5
0,MAZ,.182,0,11,0,6
2,CUL,.404,1,211,6,38
2,MAZ,.371,0,204,10,34
1,MXC,.314,0,69,3,9
0,MXC,--,0,0,0,0
1,MAZ,.305,0,69,4,27
1,OBR,.300,0,29,0,5
3,MAZ,.378,0,209,7,23
0,MOC,.125,0,7,0,1
2,MXC,.190,0,73,2,18
3,MXC,.344,1,215,2,23
0,MAZ,.210,0,78,2,12
0,MAZ,--,0,0,0,0
2,NAV,.363,0,104,1,20
0,CUL,.182,0,11,0,2
6,MXC,.331,0,134,9,42
2,HER,.268,0,51,2,18
5,GSV,.399,0,205,17,47
8,MXC,.318,0,161,5,37
1,MAZ,.330,0,87,1,24
4,CUL,.345,2,208,9,43
3,MOC,.421,0,228,17,57
4,GSV,.401,0,131,0,16
0,NAV,.323,0,117,6,43
3,CUL,.339,0,108,8,33
0,GSV,.231,0,12,1,4
0,MXC,--,0,0,0,0
0,NAV,.286,0,14,0,2
0,GSV,1.000,0,1,0,0
