Player,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
Bradley Wright-Phillips,F,20,19,1645,9,6,61,30,3,2/4,6,3,0.49,14.8
Anatole Abang,F,15,3,379,4,1,15,8,0,0/0,1,3,0.95,26.7
Lloyd Sam,M,17,15,1270,5,4,20,11,1,0/0,2,3,0.35,25.0
Sacha Kljestan,M,19,19,1608,4,5,34,10,2,1/1,1,3,0.22,11.8
Dane Richards,M,12,1,259,0,0,7,1,0,0/0,0,0,0.0,0.0
Mike Grella,M,19,17,1349,5,3,26,10,2,0/0,2,3,0.33,19.2
Felipe Martins,M,20,20,1778,1,3,38,9,0,0/0,1,0,0.05,2.6
Kemar Lawrence,D,13,13,1107,0,1,5,2,0,0/0,0,0,0.0,0.0
Chris Duvall,D,15,14,1283,1,1,9,5,1,0/0,0,1,0.07,11.1
Damien Perrinelle,D,17,16,1485,1,0,9,2,0,0/0,0,1,0.06,11.1
Sal Zizzo,M,13,4,442,0,0,13,3,0,0/1,0,0,0.0,0.0
Roy Miller,D,6,5,444,0,0,2,0,0,0/0,0,0,0.0,0.0
Ronald Zubar,D,3,3,190,0,0,0,0,0,0/0,0,0,0.0,0.0
Shaun Wright-Phillips,M,1,0,29,0,1,1,0,0,0/0,0,0,0.0,0.0
Peguy Luyindula,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
Dax McCarty,M,19,19,1657,0,6,10,2,0,0/0,0,0,0.0,0.0
Anthony Wallace,D,4,4,360,1,0,2,1,0,0/0,1,0,0.25,50.0
Ruben Bover,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
Connor Lade,D,7,6,570,0,0,2,1,0,0/0,0,0,0.0,0.0
Andrew Jean-Baptiste,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
Karl Ouimette,D,8,5,518,0,0,1,0,0,0/0,0,0,0.0,0.0
Leo Stolz,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
Sean Davis,M,6,3,227,0,1,3,0,0,0/0,0,0,0.0,0.0
Manolo Sanchez,M,3,0,22,0,0,6,2,0,0/0,0,0,0.0,0.0
Michael Bustamante,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
Marius Obekop,M,1,0,4,0,1,0,0,0,0/0,0,0,0.0,0.0
Shawn McLaws,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
Matt Miazga,D,16,14,1241,1,0,14,5,0,0/0,0,1,0.07,7.1
