POS,3B,Player,SLG,SB
3B,1,H Wrigley,.409,1
SS,2,Z Wheeler,.396,8
2B,0,A Machado,.370,2
2B,0,T Denker,.271,0
C,0,J Bour,.271,0
2B,0,T Jones,.296,3
SS,3,M Gonzalez,.341,6
C,0,A De La Rosa,.295,0
3B,1,D Linares,.369,2
C,0,H Jimenez,.000,0
3B,5,N Tenbrink,.427,12
2B,0,P Gran,.300,0
2B,6,T Kuhn,.393,6
C,0,S Clevenger,.461,0
1B,1,J Gallagher,.427,4
C,0,L May,.208,0
SS,0,J Gonzalez,.245,0
2B,1,D Mollenhauer,.327,17
C,1,J Sucre,.428,0
3B,2,C Smith,.467,6
C,0,R Chirinos,.580,1
2B,2,M Lawson,.440,3
3B,0,J Opitz,.366,1
C,0,T Scott,.182,0
SS,0,A Zazueta,.000,0
C,1,J Mier,.345,3
SS,0,R Gress,.354,0
SS,3,S O'Malley,.229,9
2B,4,D Ackley,.384,8
2B,0,D Macias,.280,0
C,0,J Yepez,.424,0
3B,0,R Sosa,.389,0
3B,1,L Bonilla,.407,10
SS,1,C Triunfel,.332,2
2B,5,T Torres,.478,12
2B,5,E Duncan,.396,6
3B,2,C Nowak,.384,12
C,0,I Paxton,.571,0
SS,5,S Castro,.569,4
C,0,J Phegley,.431,0
SS,6,K Negron,.409,34
C,1,B Bantz,.380,0
3B,0,G Sexton,.310,0
3B,0,M Richard,.214,1
1B,0,B Byrne,.377,8
C,0,E Easley,.315,5
2B,1,R Curry,.357,5
3B,0,K Casto,.431,1
3B,2,M Dominguez,.411,0
C,0,K Collado,.333,2
SS,4,E Herrera,.341,31
1B,0,M Fields,.382,0
C,0,J Price,.324,0
C,1,G Quiroz,.427,0
1B,0,L Parker,.111,2
1B,2,E Eymann,.372,7
C,0,M Mercedes,.200,0
3B,1,S Savastano,.426,4
2B,11,D Anderson,.406,5
2B,0,J Furmaniak,.381,1
3B,1,D Kaczrowski,.341,0
C,1,C Hatcher,.277,1
C,0,M Reed,.500,1
C,3,K Schmidt,.490,7
C,0,A Herrnberger,.400,0
3B,0,P Baez,.423,1
SS,0,A Amezaga,1.000,0
3B,0,A Hatch,.346,0
C,0,P Arlis,.115,0
C,0,S Coughlin,.333,0
SS,0,F Cortez,.478,5
SS,10,D Gordon,.355,53
3B,1,C Colonel,.559,1
1B,0,D Yount,.313,0
C,0,A Ricks,.000,0
SS,3,E Escobar,.376,3
SS,0,R Hudson,.286,1
C,0,K Skipworth,.000,0
3B,0,S Carlson,.583,0
SS,2,T Pastornicky,.366,11
C,3,N Ashley,.375,4
2B,4,J Pedroza,.401,11
3B,1,B Morel,.440,5
