Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Xander Bogaerts,PorSal,223,26,73,21,1,7,68,1,2,22,52,0.327,0.393,0.525,0.918
Keury De La Cruz,SalGre,234,35,78,20,3,9,76,16,1,14,43,0.333,0.378,0.56,0.938
Mauro Gomez,Paw,193,30,65,19,0,13,63,1,0,19,44,0.337,0.403,0.637,1.04
Garin Cecchini,Gre,209,43,63,19,2,3,61,13,1,30,44,0.301,0.394,0.455,0.849
Travis Shaw,PorSal,208,35,60,17,1,9,75,8,0,44,50,0.288,0.411,0.51,0.92
Reynaldo Rodriguez,PawPor,183,22,41,17,1,11,48,0,1,19,50,0.224,0.296,0.508,0.804
J.C. Linares,PawPor,188,23,60,14,1,4,50,0,1,13,31,0.319,0.368,0.468,0.836
Michael Almanzar,Sal,212,27,67,14,0,5,47,3,5,17,36,0.316,0.369,0.453,0.821
Brandon Jacobs,Sal,218,35,60,14,0,5,52,11,3,25,63,0.275,0.361,0.408,0.769
Boss Moanaroa,Gre,173,23,44,14,0,1,45,1,1,41,53,0.254,0.386,0.353,0.738
Sean Coyle,Sal,231,28,56,14,2,6,59,8,1,16,66,0.242,0.305,0.398,0.703
David Renfroe,SalGre,202,24,49,14,0,4,63,3,0,22,41,0.243,0.319,0.371,0.69
Lars Anderson,Paw,158,20,50,12,1,3,46,0,0,29,37,0.316,0.411,0.462,0.873
Jackie Bradley,PorSal,153,30,48,12,0,1,54,6,2,40,25,0.314,0.445,0.412,0.857
Jeremy Hazelbaker,PawPor,195,27,52,12,2,7,55,7,3,12,59,0.267,0.321,0.456,0.777
Ryan Lavarnway,Paw,145,24,42,11,0,3,38,1,0,23,24,0.29,0.385,0.428,0.813
Christian Vazquez,PorSal,167,24,42,11,0,2,41,0,2,17,38,0.251,0.323,0.353,0.676
Bryce Brentz,PawPor,235,28,71,10,1,8,67,4,1,22,62,0.302,0.356,0.455,0.812
Shannon Wilkerson,PorSal,213,29,59,10,3,2,46,12,3,16,39,0.277,0.322,0.38,0.702
Henry Ramos,Gre,225,25,55,10,2,4,59,7,3,25,51,0.244,0.323,0.36,0.683
Drew Hedman,PorSal,130,16,31,9,3,3,34,3,0,22,38,0.238,0.346,0.423,0.769
Drew Turocy,Gre,139,21,43,9,1,1,28,2,2,9,27,0.309,0.351,0.41,0.761
Dan Butler,PawPor,160,20,42,9,0,3,31,0,0,22,29,0.263,0.364,0.375,0.739
Marquez Smith,Por,123,21,37,8,0,4,33,1,0,9,24,0.301,0.357,0.463,0.821
Nate Spears,Paw,156,16,37,8,3,3,31,0,1,16,29,0.237,0.32,0.385,0.705
