d/s,bs,m,Rk,a,tot,k/s,a/s,ba
0.25,7,20,33,4,28,1.04,0.07,21
1.87,2,20,33,579,29,1.06,8.27,27
3.94,0,26,14,25,0,0.05,0.28,0
4.18,0,30,1,28,0,0.04,0.25,0
0.41,18,30,1,15,91,1.73,0.13,73
1.15,4,19,41,10,22,1.22,0.14,18
2.44,5,24,16,714,32,0.37,9.15,27
5.6,1,19,41,11,1,0.06,0.16,0
2.88,7,30,1,27,33,2.55,0.24,26
2.12,0,21,24,16,3,0.25,0.2,3
2.83,0,21,24,9,0,0.11,0.11,0
1.27,1,19,41,12,10,1.08,0.24,9
2.0,0,20,33,10,0,0.04,0.13,0
0.79,2,22,17,19,29,1.03,0.25,27
0.18,7,22,17,4,49,1.65,0.05,42
0.79,4,20,33,6,38,3.4,0.08,34
1.27,1,22,17,14,20,2.66,0.18,19
0.49,9,19,41,16,44,2.64,0.22,35
0.36,5,30,1,31,52,1.3,0.29,47
0.71,3,20,33,4,26,2.47,0.05,23
0.43,12,22,17,5,70,3.09,0.06,58
1.48,0,29,7,515,0,0.17,4.72,0
