USG%,GmSc,TRB%,Opp,ORtg,TOV%,G,Tm
22.5,3.1,21.7,DAL,89,13.7,23,DEN
0.0,0.3,17.2,BOS, , ,48,DEN
17.5,5.3,15.4,IND,157,0.0,35,DEN
29.1,9.0,20.5,SAS,179,0.0,56,DEN
7.3,-0.5,12.9,DET,51,100.0,29,DEN
12.7,0.9,8.0,MIL,106,0.0,60,DEN
11.3,1.7,5.0,SAC,98,0.0,28,DEN
8.6,-1.1,0.0,LAC,0,0.0,57,DEN
5.8,0.0,23.5,LAC,40,0.0,72,DEN
16.6,-1.7,0.0,SEA,0,50.0,1,DEN
10.3,-0.4,14.3,CHH,0,0.0,18,DEN
13.6,-0.8,13.8,UTA,60,25.8,10,DEN
33.5,6.0,11.9,MIN,173,0.0,22,DEN
23.5,10.8,15.2,DAL,118,14.2,12,DEN
17.3,-1.1,0.0,POR,38,34.7,32,DEN
4.6,2.5,24.9,MIN,200,0.0,70,DEN
10.4,3.6,19.3,CHI,125,0.0,45,DEN
12.4,0.8,11.6,UTA,17,69.4,41,DEN
46.7,2.0,53.3,HOU,200,0.0,68,DEN
0.0,0.0,0.0,PHO, , ,64,DEN
12.8,7.8,12.8,MIN,149,0.0,5,DEN
12.3,1.6,5.2,HOU,105,0.0,47,DEN
16.1,1.0,18.0,WSB,65,25.0,59,DEN
11.8,5.1,17.1,HOU,125,0.0,21,DEN
11.9,0.8,15.8,SEA,75,0.0,34,DEN
20.1,1.8,18.9,NJN,102,0.0,30,DEN
23.8,7.6,14.0,SAC,115,18.6,39,DEN
8.5,-0.1,13.3,LAL,66,0.0,67,DEN
15.8,6.6,7.4,CLE,146,0.0,4,DEN
22.4,17.9,24.8,BOS,136,7.3,31,DEN
31.7,6.7,20.9,SEA,139,0.0,66,DEN
14.4,11.9,8.4,NYK,172,0.0,16,DEN
8.1,-0.1,10.2,LAL,68,0.0,2,DEN
13.5,6.4,13.4,GSW,165,0.0,38,DEN
23.3,4.6,14.6,ORL,108,25.8,51,DEN
