eFG%,Age,TS%,USG%,AST%
 ,29-209, ,0.0,0.0
.000,29-321,.000,14.8,25.4
1.500,29-358,1.330,19.4,0.0
.000,29-363,.170,10.1,9.7
.643,29-221,.643,22.4,0.0
.429,29-305,.429,25.6,11.6
1.000,29-361,1.000,5.7,29.4
1.000,29-245,1.000,23.5,0.0
.000,29-202,.000,6.3,21.4
.667,29-252,.667,13.9,12.9
.000,29-223,.000,24.4,0.0
.333,30-002,.333,12.7,6.7
.000,29-365,.000,16.2,0.0
.875,29-234,.875,9.8,8.1
 ,29-199, ,0.0,0.0
.500,29-267,.500,13.8,21.3
.333,29-247,.333,11.9,10.0
.583,29-329,.583,21.1,0.0
.000,29-226,.420,22.0,0.0
.333,29-288,.333,15.0,15.0
 ,29-198, ,0.0,0.0
.417,29-326,.417,9.6,9.4
.167,29-290,.167,24.5,23.5
.286,29-346,.286,16.7,14.5
 ,29-232, ,0.0,0.0
.250,29-359,.250,22.1,0.0
.643,29-349,.685,22.9,23.4
 ,29-240, ,0.0,0.0
.682,29-316,.656,25.6,9.2
.500,29-261,.581,12.6,18.1
.500,29-307,.500,14.0,26.2
.000,29-314,.000,9.7,0.0
 ,29-352, ,0.0,0.0
.000,29-244,.000,3.9,20.3
 ,29-320,.947,9.8,12.5
.200,29-274,.200,13.9,6.6
.500,29-265,.500,9.6,29.3
1.250,29-303,1.230,34.9,0.0
