SB,SH,BB,SF,SLG,AVG,H
2,2,34,4,0.347,0.227,66
0,0,17,4,0.55,0.285,69
3,4,14,3,0.348,0.252,34
0,1,3,2,0.446,0.257,19
1,4,15,5,0.382,0.286,110
1,0,2,0,0.333,0.273,9
0,0,3,0,0.261,0.217,10
0,0,3,1,0.356,0.202,21
0,0,0,0,0.333,0.167,1
0,0,0,0,0.0,0.0,0
2,3,25,1,0.34,0.213,57
5,0,46,2,0.368,0.26,126
0,0,0,0,0.333,0.333,1
0,0,0,0,0.333,0.222,2
0,1,11,0,0.382,0.259,44
6,6,26,1,0.295,0.212,33
0,0,1,0,0.308,0.308,4
3,4,46,1,0.327,0.25,49
0,0,0,0,0.25,0.25,1
0,0,1,0,0.333,0.333,3
0,0,2,0,0.571,0.429,3
6,5,23,2,0.328,0.221,72
0,0,2,0,0.357,0.357,5
0,0,0,0,0.625,0.5,4
0,0,2,0,0.273,0.169,13
0,0,1,0,0.143,0.095,2
6,0,8,5,0.43,0.303,67
0,0,0,0,0.0,0.0,0
