Opp,TRB%,GmSc,ORtg,G,STL%,Date
NYK,16.2,10.1,108,58,1.9,2012-04-26
TOR,14.8,8.2,123,23,0.0,2012-02-17
ATL,5.1,-0.3,62,11,0.0,2012-01-12
MIN,8.6,11.2,116,40,0.0,2012-03-28
SAC,17.2,10.1,149,55,0.0,2012-04-22
WAS,8.9,2.5,68,56,2.5,2012-04-23
PHO,4.8,-3.0,0,18,0.0,2012-02-04
ATL,19.4,8.1,94,7,0.0,2012-01-06
DET,8.7,7.9,105,49,0.0,2012-04-12
MIA,6.0,19.1,151,4,3.4,2012-01-01
LAL,5.9,4.8,93,16,2.7,2012-01-31
WAS,12.2,2.2,72,47,0.0,2012-04-09
CLE,9.2,13.6,159,13,0.0,2012-01-16
UTA,7.3,-1.5,39,29,3.2,2012-03-07
MIL,10.0,2.2,90,45,0.0,2012-04-06
CHI,14.5,4.4,136,14,0.0,2012-01-21
DET,13.0,11.8,136,26,0.0,2012-02-29
CHI,9.6,4.5,71,53,4.4,2012-04-18
DET,36.9,4.4,200,42,0.0,2012-03-31
MIL,21.6,-0.9,0,37,0.0,2012-03-23
MIA,6.7,-1.5,42,50,0.0,2012-04-13
CHI,10.7,5.3,91,20,0.0,2012-02-10
MIL,12.2,7.9,131,1,0.0,2011-12-26
ORL,0.0,3.9,111,28,0.0,2012-03-06
HOU,16.0,3.8,77,33,3.1,2012-03-14
MEM,4.1,2.6,120,54,0.0,2012-04-20
LAC,20.2,2.0,114,21,0.0,2012-02-11
TOR,10.7,2.4,105,43,0.0,2012-04-03
HOU,10.8,5.9,79,10,0.0,2012-01-10
CLE,5.9,3.6,100,48,0.0,2012-04-10
ATL,16.7,4.9,128,46,0.0,2012-04-07
WAS,5.8,-1.5,43,15,0.0,2012-01-25
