Rk,Year,G#,Date,Tm,Opp,Result,Quarter,Type,Dist,Score Before,Score After
1,1988,12,1988-11-20,CHI,TAM,W 27-15,2,Receiving,40,Lead 14-3,Lead 21-3
2,1989,3,1989-09-24,CHI,DET,W 47-27,1,Rushing,6,Lead 3-0,Lead 10-0
3,1989,3,1989-09-24,CHI,DET,W 47-27,4,Receiving,3,Lead 33-20,Lead 40-20
4,1989,8,1989-10-29,CHI,RAM,W 20-10,3,Rushing,1,Tied 3-3,Lead 10-3*
5,1989,9,1989-11-05,CHI,GNB,L 13-14,3,Rushing,2,Trail 6-7,Lead 13-7*
6,1989,10,1989-11-12,CHI,PIT,W 20-0,2,Receiving,20,Lead 10-0,Lead 17-0
7,1989,14,1989-12-10,CHI,DET,L 17-27,2,Rushing,11,Trail 3-14,Trail 10-14
8,1989,15,1989-12-17,CHI,GNB,L 28-40,1,Receiving,3,Trail 0-7,Tied 7-7
9,1989,15,1989-12-17,CHI,GNB,L 28-40,3,Rushing,4,Trail 21-30,Trail 28-30
10,1990,6,1990-10-14,CHI,RAM,W 38-9,2,Rushing,13,Lead 21-0,Lead 28-0
11,1990,8,1990-11-04,CHI,TAM,W 26-6,2,Rushing,12,Tied 0-0,Lead 7-0*
12,1990,9,1990-11-11,CHI,ATL,W 30-24,3,Rushing,1,Lead 17-3,Lead 24-3
13,1990,10,1990-11-18,CHI,DEN,W 16-13,3,Rushing,10,Tied 6-6,Lead 13-6*
14,1990,12,1990-12-02,CHI,DET,W 23-17,2,Rushing,6,Trail 0-7,Tied 7-7
15,1990,14,1990-12-16,CHI,DET,L 21-38,1,Rushing,1,Tied 0-0,Lead 7-0*
16,1991,8,1991-10-27,CHI,NOR,W 20-17,3,Rushing,6,Trail 6-10,Lead 13-10*
17,1991,11,1991-11-17,CHI,IND,W 31-17,3,Receiving,13,Tied 10-10,Lead 17-10*
18,1991,11,1991-11-17,CHI,IND,W 31-17,4,Rushing,9,Lead 24-17,Lead 31-17
19,1991,12,1991-11-24,CHI,MIA,L 13-16,1,Rushing,3,Tied 0-0,Lead 7-0*
20,1991,14,1991-12-08,CHI,GNB,W 27-13,1,Rushing,8,Tied 0-0,Lead 7-0*
21,1991,14,1991-12-08,CHI,GNB,W 27-13,2,Rushing,6,Trail 7-10,Lead 14-10*
22,1991,15,1991-12-14,CHI,TAM,W 27-0,1,Rushing,1,Tied 0-0,Lead 6-0*
23,1992,3,1992-09-21,CHI,NYG,L 14-27,2,Receiving,44,Tied 7-7,Lead 14-7*
24,1992,4,1992-09-27,CHI,ATL,W 41-31,3,Rushing,14,Lead 31-21,Lead 38-21
25,1992,6,1992-10-18,CHI,TAM,W 31-14,1,Rushing,1,Tied 0-0,Lead 7-0*
26,1992,6,1992-10-18,CHI,TAM,W 31-14,2,Receiving,1,Lead 7-0,Lead 14-0
27,1992,7,1992-10-25,CHI,GNB,W 30-10,2,Rushing,1,Tied 3-3,Lead 10-3*
28,1993,8,1993-10-31,NOR,PHO,W 20-17,1,Rushing,1,Tied 0-0,Lead 7-0*
29,1993,14,1993-12-20,NOR,NYG,L 14-24,2,Rushing,1,Trail 0-14,Trail 7-14
30,1993,15,1993-12-26,NOR,PHI,L 26-37,3,Rushing,2,Trail 12-24,Trail 19-24
31,1994,2,1994-09-11,NOR,WAS,L 24-38,4,Rushing,3,Trail 17-38,Trail 24-38
