Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Chih-Hsiang Huang,GCL,42,133,16,33,12,0,2,14,1,0,20,38,0.248,0.344,0.383,0.727
Ricardo Burgos,Low,41,121,24,24,8,1,4,22,3,2,29,47,0.198,0.344,0.38,0.724
Christopher De La Rosa,DSL,42,137,25,30,10,2,1,16,7,3,24,47,0.219,0.378,0.343,0.721
Leonel Escobar,DSL,47,150,29,42,6,0,0,11,3,0,19,24,0.28,0.397,0.32,0.717
Argenis Diaz,PorLan,110,395,51,112,17,8,2,52,3,3,30,90,0.284,0.332,0.382,0.714
Javier Gutierrez,DSL,65,230,38,53,14,2,3,29,7,2,40,60,0.23,0.364,0.348,0.712
Jason Lane,Paw,13,53,10,11,4,0,2,9,0,0,8,14,0.208,0.306,0.396,0.703
Andrew Pinckney,Por,57,221,27,60,12,1,5,37,1,1,9,48,0.271,0.3,0.403,0.703
Che-Hsuan Lin,Gre,91,362,60,90,13,6,5,37,33,7,43,62,0.249,0.342,0.359,0.701
John Otness,Por,69,251,35,66,14,1,2,33,0,3,26,32,0.263,0.348,0.351,0.699
Thomas Di Benedetto,GreGCL,25,70,11,18,3,0,0,6,1,0,14,17,0.257,0.398,0.3,0.698
David Mailman,Gre,115,426,55,106,21,3,8,51,15,7,50,94,0.249,0.328,0.369,0.697
Andrew Frezza,GCL,36,118,19,31,7,2,1,8,10,0,8,26,0.263,0.315,0.381,0.696
Keith Ginter,Paw,123,444,49,111,21,0,7,54,5,1,55,91,0.25,0.347,0.345,0.691
Wilfred Pichardo,LowGCL,55,209,36,62,4,2,0,11,43,10,18,47,0.297,0.355,0.335,0.69
Reid Engel,Lan,77,306,41,76,10,2,10,40,2,1,18,78,0.248,0.297,0.392,0.689
Michael Almanzar,GreGCL,58,229,28,60,11,3,3,22,3,4,13,54,0.262,0.309,0.376,0.684
Ryan Lavarnway,Low,22,71,10,15,5,0,2,9,0,0,8,18,0.211,0.317,0.366,0.683
Tony Granadillo,PawPor,99,351,51,81,20,1,5,43,1,1,55,76,0.231,0.341,0.336,0.677
Felix Sanchez,DSL,41,123,23,30,2,2,0,13,12,3,24,35,0.244,0.38,0.293,0.673
Derrik Gibson,LowGCL,41,129,19,32,6,1,0,12,16,0,20,29,0.248,0.361,0.31,0.671
David Ross,Paw,6,28,4,7,1,0,1,3,0,0,1,7,0.25,0.276,0.393,0.669
Chia-Chu Chen,GCL,18,51,2,13,4,0,0,4,0,0,6,14,0.255,0.333,0.333,0.667
Mark Wagner,Por,94,342,44,75,19,0,10,48,0,0,38,78,0.219,0.304,0.363,0.666
Will Middlebrooks,Low,59,209,21,53,17,2,1,21,10,0,12,73,0.254,0.298,0.368,0.666
