Date,Opponent,Score,GP,GS,G,A,Pts,Sh,Shot%,GWG,UP,DN,GB,T/O,CT,Faceoff,Pen-Min
"Feb 27, 2010",MORAVIAN,20-3,*,*,1,0,1,4,0.25,0,0,0,0,0,0,0-0,0-0.0
"Mar 03, 2010",at Salisbury,6-12,*,*,0,0,0,1,0.2,0,0,0,1,2,0,0-0,0-0.0
"Mar 06, 2010",at Virginia Wesleyan,7-12,*, ,1,0,1,4,0.222,0,0,0,2,0,0,0-0,0-0.0
"Mar 10, 2010",MARY WASHINGTON,9-10,*,*,1,0,1,7,0.188,0,0,0,0,0,0,0-0,0-0.0
"Mar 13, 2010",NEW ENGLAND COLLEGE,10-4,*,*,2,2,4,4,0.25,0,0,0,3,1,1,0-0,0-0.0
"Mar 16, 2010",at Colorado College,10-9,*,*,2,0,2,8,0.25,0,0,0,0,0,0,0-0,0-0.0
"Mar 20, 2010",at Washington (Md.),8-9,*,*,0,0,0,7,0.2,0,0,0,1,2,0,0-0,1-0.5
"Mar 27, 2010",at Ursinus,8-7,*,*,1,0,1,6,0.195,0,0,0,1,2,2,0-0,2-1.5
"Apr 03, 2010",SWARTHMORE,15-9,*,*,1,0,1,2,0.209,0,0,0,0,0,0,0-0,2-1.5
"Apr 07, 2010",GETTYSBURG,6-15,*,*,0,0,0,3,0.196,0,0,0,1,2,0,0-0,0-0.0
"Apr 10, 2010",at Muhlenberg,11-6,*,*,1,0,1,2,0.208,0,0,0,0,0,0,0-0,0-0.0
"Apr 14, 2010",FRANKLIN & MARSHALL,11-10,*,*,0,0,0,3,0.196,0,0,0,1,0,0,0-0,0-0.0
"Apr 17, 2010",at Haverford,6-9,*,*,2,0,2,4,0.218,0,0,0,0,1,0,0-0,0-0.0
"Apr 24, 2010",DICKINSON,8-12,*,*,0,1,1,3,0.207,0,0,0,1,0,0,0-0,0-0.0
"Apr 30, 2010",at Gettysburg,6-10,*,*,1,0,1,10,0.191,0,0,0,0,1,0,0-0,0-0.0
Totals, ,141-137,15,14,13,3,16,68,0.191,0,0,0,11,11,3,0-0,5-3.5
