S,Feb,Jun,Last,Oct,May,Totals
292,0,0,28 Dec,18,86,501
0,0,0,18 May,0,11,11
2587,2,0,8 Dec,1409,599,3467
145,21,0,29 Dec,64,29,249
0,0,0,4 May,0,0,0
25,0,0,28 Oct,11,0,37
28,0,0,8 Dec,15,51,199
15,0,0,8 Dec,4,16,51
111,6,1,29 Dec,67,10,146
74,0,0,8 Dec,0,0,74
0,0,0,10 Mar,0,0,0
1,0,0,28 Dec,0,0,1
4,0,0,25 Sep,0,0,5
1,0,0,4 Oct,1,0,1
4,0,0,28 Oct,3,2,6
3,0,0,7 Oct,1,0,8
478,0,0,28 Oct,472,0,526
0,0,0,18 Aug,0,0,0
93,0,0,29 Dec,36,6,682
1,0,0,7 Jan,0,0,5
62,0,0,28 Dec,2,0,118
22,0,0,20 Oct,6,5,32
60,0,8,26 Nov,12,203,439
186,0,0,29 Dec,14,7,595
2,0,0,1 May,0,2,4
1,1,0,26 May,0,1,3
26,0,1,28 Sep,0,7,37
21,0,0,28 Oct,19,0,23
32,0,0,8 Dec,1,0,32
41,0,0,8 Dec,5,441,991
20,0,0,8 Dec,8,0,36
1,0,0,19 Oct,1,0,1
0,0,0,18 May,0,2,2
0,0,0,31 Aug,0,0,47
7,0,0,23 Sep,0,29,38
1,0,0,28 Sep,0,0,1
9,0,0,5 Oct,9,179,514
15,0,0,8 Dec,0,0,15
5259,0,0,29 Dec,4818,13,5316
1,0,0,7 Oct,1,0,1
870,7,0,29 Dec,66,83,1410
2,0,0,28 Dec,0,0,2
1,0,0,28 Oct,1,0,1
1,0,0,25 Jul,0,19,27
0,0,0,18 May,0,1,1
4,0,0,28 Oct,2,11,22
195,11,0,29 Dec,58,35,369
7,0,0,28 Oct,7,0,7
1,0,0,20 Oct,1,0,1
113,0,0,26 Nov,92,13,132
5,0,0,7 Oct,1,0,18
1,0,0,31 Aug,0,41,134
160,0,0,29 Dec,58,0,164
0,0,0,18 May,0,4,4
1,0,0,7 Oct,1,0,1
96,0,0,28 Oct,64,1256,3818
86274,0,1,29 Dec,84722,20,90176
3,0,0,19 Oct,3,0,4
905,0,11,20 Oct,139,199,1478
8,0,0,22 Sep,0,0,8
1,0,0,20 Oct,1,0,5
248,0,0,29 Dec,55,85,995
69,0,0,26 Nov,63,0,69
19,0,0,7 Oct,4,517,1219
2,0,0,5 Oct,1,0,3
0,0,0,18 May,0,1,1
4,0,0,15 Sep,0,2,6
0,0,0,28 Dec,0,0,0
441,0,0,29 Dec,381,5,2726
1,0,0,19 Oct,1,0,1
794,0,0,29 Dec,271,12,920
28,0,0,17 Nov,22,0,30
206,16,0,29 Dec,0,241,801
207,0,0,8 Oct,11,159,1144
0,0,0,27 Apr,0,0,0
9,0,0,26 Nov,1,0,13
33,0,0,28 Oct,27,0,37
85,0,0,8 Dec,40,0,86
2,0,0,7 Oct,2,0,3
22,18,4,2 Jun,0,0,50
163,0,0,29 Dec,39,7,452
4763,30,3,29 Dec,1079,290,6731
11,0,0,29 Dec,0,29,43
60,0,0,29 Dec,0,0,112
76,0,0,19 Oct,20,28,136
2,0,0,20 Oct,2,0,2
24,0,0,31 Aug,0,100,347
199,0,0,17 Nov,192,101,814
0,0,0,2 Jun,0,5,8
623,70,0,29 Dec,67,8,903
1,0,0,4 Jan,0,0,1
0,0,0,1 May,0,1,1
1,0,0,14 Sep,0,0,1
0,0,0,5 Jan,0,0,1
87,0,0,28 Dec,21,0,139
0,0,0,18 May,0,3,3
25,0,0,8 Dec,1,0,59
0,0,0,20 Jan,0,0,0
0,0,0,18 May,0,1,1
