FGA,ORB,3P%,MIN,DRB
15.9,1.0,0.296,24.4,3.2
9.9,0.4,0.326,23.2,2.4
10.5,1.2,0.383,12.1,5.2
13.7,1.0,0.338,31.0,4.1
8.3,2.4,0.211,27.2,7.8
12.4,0.8,0.295,23.9,2.6
12.9,0.7,0.341,28.4,4.2
14.7,1.1,0.277,23.8,2.7
7.5,0.9,0.419,27.5,4.2
12.3,1.0,0.385,36.3,4.2
11.8,0.6,0.311,30.2,2.4
14.4,0.9,0.33,31.4,3.3
12.1,0.8,0.374,22.6,5.3
13.1,0.5,0.426,27.7,2.5
16.8,0.5,0.287,37.5,3.2
11.7,0.7,0.384,14.8,3.1
10.9,2.1,0.125,26.7,4.1
16.1,1.0,0.372,24.0,2.7
17.5,0.4,0.387,20.8,2.6
9.7,0.2,0.344,20.0,2.2
16.4,0.4,0.376,29.3,1.7
16.5,0.5,0.416,38.5,6.9
12.3,1.2,0.359,17.8,3.4
7.9,0.8,0.224,13.0,2.7
14.5,0.3,0.355,21.8,3.2
11.8,0.3,0.41,27.4,1.8
10.7,1.2,0.372,38.4,4.0
8.0,0.9,0.325,22.7,2.9
11.5,0.8,0.357,21.3,2.9
9.9,0.7,0.28,9.9,2.6
12.4,0.7,0.302,28.6,2.8
12.4,1.4,0.138,12.2,4.4
14.7,0.6,0.283,36.7,3.2
15.3,0.6,0.38,33.4,6.2
11.1,1.3,0.391,27.5,2.8
12.7,0.4,0.407,35.5,3.2
13.3,0.3,0.366,30.5,2.3
13.1,0.7,0.365,35.3,5.7
15.0,0.8,0.323,19.1,3.9
13.3,1.0,0.33,17.0,3.2
11.4,1.1,0.317,34.7,4.4
11.7,1.4,0.342,33.7,3.9
16.8,1.3,0.323,35.8,4.8
10.9,2.3,0.222,26.0,5.8
12.8,0.5,0.407,11.3,2.4
9.6,0.4,0.457,30.5,4.3
16.6,0.3,0.324,30.1,1.9
11.2,0.2,0.335,24.5,2.8
10.2,0.5,0.378,12.3,2.4
13.8,0.6,0.357,23.9,2.7
12.4,2.6,0.315,30.0,6.8
11.7,0.5,0.428,16.5,2.4
7.2,0.9,0.351,26.9,4.8
12.9,0.9,0.385,27.8,4.2
