SO,RBI,SB,Gact,PA,G
2,0,0,14,14,15
29,16,1,74,226,78
9,13,0,52,114,55
32,24,11,95,353,100
34,3,0,37,96,39
11,3,0,32,54,34
48,39,4,106,407,112
1,1,0,2,8,2
6,9,0,37,104,39
6,14,0,60,135,63
13,3,0,37,42,39
1,0,0,2,1,2
0,0,0,4,2,4
55,111,14,153,691,161
31,12,0,35,132,37
1,0,0,10,16,11
28,24,4,106,404,112
29,31,27,113,453,119
28,43,8,114,502,120
2,0,0,6,8,6
13,3,0,29,81,31
22,75,13,140,610,147
1,6,0,23,26,24
19,93,5,142,616,149
0,0,0,1,1,1
14,15,2,54,185,57
31,22,1,54,150,57
0,0,0,22,3,23
5,23,0,67,195,70
1,0,0,7,17,7
34,5,0,41,100,43
1,0,0,4,2,4
6,8,0,41,63,43
13,43,3,94,358,99
1,0,0,6,2,6
2,0,0,20,24,21
12,12,0,22,39,23
6,1,0,29,28,31
9,2,0,34,72,36
21,6,0,32,85,34
15,6,0,40,97,42
9,4,0,26,44,27
19,106,12,139,634,146
16,9,1,41,89,43
11,15,1,43,136,45
7,30,2,72,204,76
8,6,0,19,76,20
41,89,11,147,650,155
39,63,12,136,569,143
21,45,1,110,448,116
42,70,12,123,521,129
8,6,0,19,82,20
0,0,0,1,1,1
16,53,5,118,437,124
1,6,0,15,30,16
13,42,6,136,638,143
2,8,1,46,93,48
3,0,0,7,16,7
8,16,2,50,167,53
14,10,3,37,128,39
7,8,3,31,124,33
21,16,2,72,282,76
21,55,7,149,619,157
43,109,13,153,695,161
11,10,1,32,117,34
11,15,0,35,83,37
8,18,0,59,115,62
53,50,13,135,628,142
16,1,0,31,57,33
5,4,0,10,38,11
1,6,0,8,31,8
7,8,0,43,48,45
18,55,50,149,711,157
2,0,0,13,12,14
27,24,4,70,200,74
14,97,3,153,699,161
5,2,1,49,82,52
7,5,0,17,65,18
13,2,0,23,47,24
1,0,0,18,14,19
0,0,0,1,3,1
21,34,2,98,370,103
8,1,0,38,55,40
12,23,4,46,188,48
41,42,14,131,547,138
5,20,6,58,202,61
7,9,2,32,104,34
47,70,9,155,634,163
1,2,0,14,15,15
9,3,0,31,85,33
19,36,20,102,465,107
23,55,1,120,455,126
17,19,2,52,125,55
1,1,0,11,9,12
11,2,0,21,37,22
12,3,0,34,59,36
6,2,0,33,45,35
8,15,2,38,115,40
17,24,1,81,329,85
1,1,0,1,5,1
3,6,0,25,61,26
18,23,6,76,230,80
40,54,15,119,461,125
25,23,4,79,382,83
6,2,0,46,95,48
7,10,0,32,97,34
63,95,16,152,660,160
2,0,0,3,3,3
27,4,0,35,90,37
1,0,0,4,4,4
15,45,3,121,489,127
4,0,0,19,10,20
28,35,25,124,528,130
23,17,3,64,312,67
21,30,3,128,444,135
5,13,1,54,105,57
11,5,0,49,64,52
45,56,3,118,409,124
2,0,0,26,26,27
28,40,7,96,417,101
14,25,2,78,180,82
5,1,0,21,35,22
8,7,0,33,83,35
9,8,0,49,94,52
13,17,4,77,248,81
21,28,16,117,495,123
0,0,0,10,1,11
2,0,0,13,8,14
27,60,16,130,577,137
13,1,0,35,60,37
12,3,0,29,37,31
2,1,0,8,24,8
11,2,0,25,54,26
1,0,0,11,8,12
0,0,0,2,1,2
9,2,0,26,22,27
17,35,4,111,420,117
56,71,18,152,668,160
14,15,1,63,197,66
15,0,0,28,38,29
16,7,4,50,127,53
0,0,0,4,2,4
8,4,1,33,86,35
35,46,14,156,754,164
2,0,0,5,10,5
6,5,0,25,56,26
19,7,0,32,70,34
4,0,0,7,8,7
0,0,0,3,3,3
13,1,0,50,71,53
0,0,0,6,9,6
11,73,6,121,504,127
16,42,1,137,509,144
15,25,2,70,227,74
3,1,0,12,8,13
0,0,0,1,4,1
11,19,7,84,308,88
9,12,3,47,181,49
18,28,4,80,256,84
7,9,0,27,67,28
1,3,0,38,55,40
4,4,0,24,35,25
17,39,8,92,336,97
0,0,0,5,1,5
38,46,7,117,478,123
29,17,3,62,179,65
3,0,0,14,15,15
2,6,3,13,42,14
2,0,0,8,8,8
16,83,3,114,514,120
14,9,0,50,95,53
1,0,0,8,7,8
4,13,3,53,202,56
33,77,12,133,643,140
2,6,0,41,79,43
15,23,4,37,159,39
31,123,15,154,691,162
1,0,0,9,3,9
2,0,0,7,20,7
1,0,0,6,9,6
2,0,0,8,21,8
18,74,19,114,482,120
0,0,0,4,8,4
6,7,1,23,98,24
0,0,0,1,1,1
11,0,0,30,41,32
25,72,23,145,709,153
2,0,0,8,4,8
8,11,1,58,98,61
12,3,0,33,56,35
1,0,0,9,17,9
65,85,33,117,536,123
5,1,0,29,57,31
3,0,0,5,11,5
0,0,0,2,2,2
11,41,1,71,276,75
5,4,0,55,150,58
19,102,3,141,656,148
2,0,0,3,8,3
18,4,0,35,55,37
42,49,1,145,592,153
14,28,2,71,230,75
7,11,0,45,126,47
21,36,9,147,679,155
8,9,2,26,80,27
12,13,0,39,123,41
7,16,0,30,90,32
12,38,1,87,230,92
0,0,0,3,8,3
14,14,0,67,201,70
24,32,1,90,255,95
66,61,22,127,562,134
35,59,3,148,620,156
7,2,0,37,49,39
22,44,8,87,405,92
2,0,0,4,2,4
6,3,0,30,60,32
5,1,0,21,21,22
40,71,7,131,538,138
12,7,0,35,98,37
5,4,3,25,98,26
0,0,0,6,5,6
2,4,0,34,70,36
21,7,0,35,85,37
2,0,1,6,15,6
15,9,0,51,138,54
17,83,42,152,695,160
