R,3B,SF,OBP,HR,OPS,POS
19,1,0,.331,6,0.81,2B
53,10,6,.308,1,0.664,SS
64,0,1,.369,13,0.817,SS
34,6,2,.300,6,0.706,2B
9,0,1,.304,3,0.651,2B
2,0,0,.190,0,0.39,SS
39,2,5,.286,5,0.6,SS
59,5,2,.315,5,0.663,2B
22,1,1,.328,1,0.644,2B
2,0,0,--,0,0.0,2B
0,0,0,.000,0,0.0,2B
4,0,0,.385,0,0.819,SS
58,1,2,.339,14,0.777,SS
54,10,10,.324,10,0.713,SS
92,12,3,.326,2,0.704,2B
31,2,1,.343,1,0.711,2B
7,1,0,.313,2,0.764,2B
1,0,0,.067,0,0.133,SS
44,7,2,.323,4,0.728,SS
6,1,0,.303,3,0.71,2B
20,0,0,.333,0,0.644,SS
0,0,0,.000,0,0.0,SS
2,0,0,.333,0,0.548,2B
47,4,0,.305,3,0.65,2B
10,0,1,.279,0,0.578,2B
44,4,2,.286,7,0.617,SS
2,0,0,.188,1,0.361,2B
3,0,0,.161,0,0.274,2B
0,0,0,.000,0,0.0,2B
9,0,0,.233,1,0.504,SS
