Sr. No,Name,Age,Team,Mats,Inns,N.O.,Runs,HS,AVG,100,50
41,Usman Liaqat,23 years,Multan,8,14,0,439,176,31.36,1,1
42,Fahim Ashraf,22 years,Faisalabad,8,13,1,378,116,31.5,1,0
43,Taimur Ali,24 years,Quetta,8,15,0,487,105,32.47,1,3
44,Mohammad Naeem,29 years,Abbottabad,8,15,1,604,118,43.14,1,5
45,Shakeel Ahmed,28 years,Abbottabad,3,6,1,205,120,41.0,1,0
46,Mohammad Miqdad,23 years,Faisalabad,6,9,2,314,100,44.86,1,2
47,Mehran Ibrahim,22 years,Peshawar,5,9,2,242,101,34.57,1,0
48,Asif Zakir,32 years,Karachi Whites,8,11,0,429,114,39.0,1,3
49,Babar Hussain,31 years,Karachi Blues,5,8,0,309,110,38.63,1,2
50,Mohammad Saeed,32 years,Lahore Shalimar,6,9,0,232,113,25.78,1,1
51,Awais Zia,29 years,Rawalpindi,10,17,1,711,123,44.44,1,6
52,Faisal Mubashir,29 years,Bahawalpur,8,14,1,730,216,56.15,1,4
53,Waqar Orakzai,29 years,Abbottabad,8,14,0,398,186,28.43,1,2
54,Muntazir Mehdi,34 years,Lahore Ravi,3,4,0,225,130,56.25,1,1
55,Ammar Mahmood,36 years,Faisalabad,6,10,0,274,147,27.4,1,0
56,Zahid Mansoor,26 years,Rawalpindi,10,16,3,557,103,42.85,1,5
57,Naved Sarwar,26 years,Sialkot,9,14,1,598,127,46.0,1,6
58,Mansoor Amjad,29 years,Sialkot,9,14,1,502,113,38.62,1,4
59,Muzammil Nizam,25 years,Rawalpindi,10,16,2,501,101,35.79,1,4
60,Fazl-e-Rabbi,29 years,Abbottabad,4,7,1,73,22,12.17,0,0
