SLG,RBI,SO,G,BB,OBP,SB,3B,2B,SH
0.25,0,3,2,0,0.25,0,0,0,0
0.503,69,62,93,46,0.372,1,2,22,0
0.308,1,3,4,1,0.286,0,0,1,0
0.472,39,44,69,42,0.439,0,0,26,0
0.824,66,58,48,11,0.405,1,1,14,0
0.376,22,45,62,29,0.342,5,1,8,2
0.466,68,51,123,36,0.362,4,1,24,1
0.433,65,81,95,57,0.379,1,0,19,0
0.483,100,85,134,38,0.355,5,3,31,0
0.391,9,18,25,7,0.317,3,1,3,0
0.376,27,24,54,19,0.335,3,0,12,0
0.444,53,79,123,48,0.38,3,4,19,1
0.5,5,4,4,1,0.308,0,0,0,0
0.488,109,100,133,44,0.329,5,1,30,0
0.498,83,116,129,58,0.363,0,1,24,1
0.32,2,6,5,2,0.37,0,0,0,0
0.479,32,37,46,23,0.377,2,3,7,0
0.534,97,105,117,58,0.376,3,1,30,0
0.506,15,25,21,10,0.372,1,0,7,0
0.664,109,111,129,60,0.405,2,0,38,0
0.5,0,1,1,0,0.5,0,0,0,0
0.716,35,37,35,16,0.421,0,2,12,0
0.333,2,3,2,0,0.429,0,0,0,0
0.475,109,104,134,55,0.339,4,2,32,0
0.674,45,37,50,20,0.429,7,1,20,0
0.54,96,84,128,46,0.372,2,0,29,0
0.556,38,33,53,17,0.403,1,1,18,1
0.409,41,45,58,24,0.399,3,1,9,1
0.294,16,18,45,6,0.252,4,1,2,0
0.399,22,44,49,10,0.277,1,1,11,2
0.583,88,72,120,55,0.413,1,1,36,3
0.425,17,30,35,16,0.344,0,0,4,1
0.55,58,36,61,11,0.341,1,1,24,0
0.585,17,12,24,11,0.444,3,2,8,0
0.23,4,16,17,14,0.347,0,0,2,0
0.227,4,11,19,8,0.283,3,0,0,1
0.577,51,70,85,55,0.411,4,2,21,1
0.333,3,8,11,0,0.31,0,0,1,1
0.409,51,57,103,56,0.353,2,5,19,2
0.578,72,101,93,66,0.413,7,5,23,0
0.424,9,17,19,1,0.299,0,1,7,1
0.37,12,13,25,0,0.217,0,0,5,0
0.661,61,53,69,26,0.415,13,6,24,4
0.463,70,68,130,84,0.417,5,3,29,3
0.458,18,16,30,6,0.32,0,0,6,0
0.591,42,51,45,22,0.359,1,1,10,0
0.286,1,1,2,2,0.444,0,0,0,0
0.481,24,28,28,15,0.437,1,0,10,0
0.133,1,1,4,1,0.188,0,0,0,0
