AST,3PM,TOV,ORB,FGA,MIN
2.3,3.0,1.1,0.4,9.6,30.5
2.7,1.8,1.3,1.1,9.9,22.1
7.1,2.1,3.4,0.8,13.9,23.2
0.8,3.3,0.3,0.4,9.4,20.3
8.6,2.2,2.1,0.3,10.6,29.6
2.1,1.9,1.3,0.6,13.8,23.9
3.3,2.8,1.8,1.0,14.7,25.8
1.9,2.9,1.4,1.0,16.1,24.0
4.5,2.3,2.4,0.3,14.3,28.7
6.9,1.3,2.8,1.2,16.9,37.9
4.0,2.1,2.8,1.1,14.2,37.6
1.1,2.5,2.1,1.4,15.9,15.4
7.8,1.8,2.8,1.0,11.1,29.7
6.5,2.1,2.5,0.7,15.5,36.2
2.8,1.9,1.9,0.9,14.2,31.2
2.9,2.1,1.8,0.9,16.8,33.5
3.6,1.7,2.1,0.9,13.2,29.2
2.3,2.3,1.5,0.9,10.4,28.9
1.8,1.3,1.2,1.3,10.5,31.2
2.4,2.5,1.8,0.7,11.5,25.8
5.4,1.4,2.4,0.4,12.7,22.1
3.5,2.4,2.5,0.7,15.2,14.0
4.6,1.8,3.1,0.8,13.4,31.5
2.8,1.5,1.6,0.2,11.7,25.8
4.2,2.3,2.3,1.0,13.0,18.1
3.4,1.8,1.7,1.3,11.1,27.5
3.4,2.0,1.7,0.7,14.3,36.7
6.2,1.9,3.4,0.6,18.8,34.7
2.9,3.4,1.5,0.4,13.2,25.2
