162WL%,G,dWAR,oWAR,Rbaser,Name,Age,Rfield
.501,2271,2.5,14.7,-14,Team Total,26.6,25
.515,154,0.3,4.2,-4,Kelly Johnson*,28,0
.500,70,0.0,0.0,0,Aaron Heilman,31,0
.492,145,-0.6,1.1,-2,Mark Reynolds,26,-7
.500,14,0.0,0.0,0,Bob Howry*,36,0
.500,43,0.0,0.0,0,Chad Qualls,31,0
.500,57,0.0,0.0,0,Esmerling Vasquez,26,0
.500,3,0.0,0.1,-0,Billy Buckner,26,0
.501,6,0.0,0.1,0,Dontrelle Willis*,28,0
.500,3,0.0,-0.0,0,Zach Kroenke,26,0
.502,85,0.6,1.1,-1,Miguel Montero*,26,1
.500,37,0.0,0.0,0,Sam Demel,24,0
.500,58,0.0,0.0,0,J.C. Gutierrez,26,0
.500,4,0.0,0.0,0,Daniel Stange,24,0
.500,11,0.0,0.0,-0,Daniel Hudson,23,0
.496,151,-0.3,0.4,-5,Adam LaRoche*,30,6
.488,81,-0.1,-1.1,-0,Tony Abreu#,25,-2
.495,38,-0.3,0.0,-0,John Hester,26,-5
.503,33,0.0,0.5,-0,Ian Kennedy,25,0
.496,33,0.0,-0.6,-0,Rodrigo Lopez,34,0
.513,151,0.7,4.0,0,Stephen Drew*,27,0
.501,37,0.1,0.2,0,Ryan Church*,31,1
.501,18,0.0,0.2,-0,Barry Enright,24,0
.500,2,0.0,0.0,0,Rafael Rodriguez,25,0
.500,133,-0.4,1.3,-0,Justin Upton,22,2
.500,3,0.0,-0.0,-0,Kris Benson,35,0
.493,45,-0.6,-0.3,-0,Cole Gillespie,26,-4
