Games,Age,City,Sport,Team,NOC,Phase,Unit,Rank,Date,Result,G
1988 Summer,28,Seoul,Water Polo,United States,USA,Final Round,Match 1/2,2,1988-10-01,"YUG 9, USA 7",0
1988 Summer,28,Seoul,Water Polo,United States,USA,Semi-Finals,Match #2,1,1988-09-30,"USA 8, URS 7",1
1988 Summer,28,Seoul,Water Polo,United States,USA,Group B,Match #2,1,1988-09-21,"USA 7, YUG 6",0
1988 Summer,28,Seoul,Water Polo,United States,USA,Group B,Match #5,2,1988-09-22,"ESP 9, USA 7",0
1988 Summer,28,Seoul,Water Polo,United States,USA,Group B,Match #7,1,1988-09-23,"USA 14, CHN 7",1
1988 Summer,28,Seoul,Water Polo,United States,USA,Group B,Match #10,1,1988-09-26,"USA 18, GRE 9",0
1988 Summer,28,Seoul,Water Polo,United States,USA,Group B,Match #14,1,1988-09-27,"USA 10, HUN 9",0
1992 Summer,32,Barcelona,Water Polo,United States,USA,Final Round,Match 3/4,2,1992-08-09,"EUN 8, USA 4",2
1992 Summer,32,Barcelona,Water Polo,United States,USA,Semi-Finals,Match #2,2,1992-08-08,"ESP 6, USA 4",0
1992 Summer,32,Barcelona,Water Polo,United States,USA,Group A,Match #2,1,1992-08-01,"USA 8, AUS 4",2
1992 Summer,32,Barcelona,Water Polo,United States,USA,Group A,Match #4,1,1992-08-02,"USA 9, TCH 3",1
1992 Summer,32,Barcelona,Water Polo,United States,USA,Group A,Match #7,1,1992-08-03,"USA 11, FRA 7",0
1992 Summer,32,Barcelona,Water Polo,United States,USA,Group A,Match #11,2,1992-08-05,"EUN 8, USA 5",0
1992 Summer,32,Barcelona,Water Polo,United States,USA,Group A,Match #14,1,1992-08-06,"USA 7, GER 2",0
